,,,,,,
,,,,,,
,Ponto,FILIAL,BAIRRO,OCORRÊNCIAS,Total,% 
,ABRIGOS,FILIAL LESTE,AGUA RASA,CAIXA DO PAINEL  DANIFICADA,,"0,00%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,COBERTURA  DANIFICADA,1,"0,06%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,COBERTURA  SEM PLACAS,,"0,00%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,COBERTURA  INFILTRAÇÃO,,"0,00%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,COBERTURA  VIDRO QUEBRADO,,"0,00%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,COBERTURA  SUJA,,"0,00%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,ELÉTRICA  CAIXA ATERRAMENTO SEM TAMPA,,"0,00%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,ELÉTRICA  CAIXA ENERGIA DANIFICADA,1,"0,06%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,ELÉTRICA  FIAÇÃO POSTE DESCONECTADA,,"0,00%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,ELÉTRICA  FIAÇÃO EXPOSTA,,"0,00%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,ELÉTRICA  LUMINÁRIA ACESA DE DIA,,"0,00%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,ELÉTRICA  LUMINÁRIA AUSENTE,,"0,00%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,ELÉTRICA  LUMINÁRIA DANIFICADA,1,"0,06%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,ELÉTRICA  POSTE AUXILIAR SUPRIMIDO,,"0,00%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,ESTRUTURA ABRIGO  BANCO PICHADO,,"0,00%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,ESTRUTURA ABRIGO  BANCO QUEBRADO,,"0,00%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,ESTRUTURA ABRIGO  COLAGEM,,"0,00%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,ESTRUTURA ABRIGO  DANIFICADA,,"0,00%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,ESTRUTURA ABRIGO  PINTURA RISCADA/DANIFICADA,,"0,00%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,ESTRUTURA ABRIGO  PICHAÇÃO,,"0,00%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,ESTRUTURA ABRIGO  SPIDER,,"0,00%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,ESTRUTURA ABRIGO  SUJO,,"0,00%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,ITINERARIO  AUSENTE,,"0,00%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,ITINERARIO  DANIFICADO PARCIALMENTE,,"0,00%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,ITINERARIO  PICTOGRAMA DANIFICADO,,"0,00%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,PAINEL  FERRUGEM,,"0,00%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,PAINEL  SUJO,,"0,00%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,PAINEL  ILUMINADO DE DIA,,"0,00%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,PAINEL  INEXISTENTE,,"0,00%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,PAINEL  VIDRO QUEBRADO,,"0,00%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,PISO  ENTORNO INADEQUADO,,"0,00%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,PISO  PODOTATIL AUSENTE,,"0,00%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,TOTEM  COM COLAGEM,,"0,00%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,PISO  PODOTATIL DANIFICADO,1,"0,06%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,PISO  SUJO,,"0,00%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,TOTEM  COM FERRUGEM,1,"0,06%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,TOTEM  INCLINADO/BASE DANIFICADA,,"0,00%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,TOTEM  INEXISTENTE/SUPRIMIDO,,"0,00%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,TOTEM  PICHAÇÃO,,"0,00%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,TOTEM  RISCADO,,"0,00%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,TOTEM  RISCADO/DANIFICADO,,"0,00%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,VIDRO  QUEBRADO,,"0,00%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,VIDRO  ANTEPARO AUSENTE,,"0,00%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,VIDRO  PICHAÇÃO,1,"0,06%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,VIDRO  RESINA,2,"0,12%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,VIDRO  RISCADO,,"0,00%"
,ABRIGOS,FILIAL LESTE,AGUA RASA,VIDROS  COLAGEM,,"0,00%"
,ABRIGOS,FILIAL LESTE,CARRAO,CAIXA DO PAINEL  DANIFICADA,,"0,00%"
,ABRIGOS,FILIAL LESTE,CARRAO,COBERTURA  DANIFICADA,,"0,00%"
,ABRIGOS,FILIAL LESTE,CARRAO,COBERTURA  SEM PLACAS,,"0,00%"
,ABRIGOS,FILIAL LESTE,CARRAO,COBERTURA  INFILTRAÇÃO,,"0,00%"
,ABRIGOS,FILIAL LESTE,CARRAO,COBERTURA  VIDRO QUEBRADO,,"0,00%"
,ABRIGOS,FILIAL LESTE,CARRAO,COBERTURA  SUJA,,"0,00%"
,ABRIGOS,FILIAL LESTE,CARRAO,ELÉTRICA  CAIXA ATERRAMENTO SEM TAMPA,,"0,00%"
,ABRIGOS,FILIAL LESTE,CARRAO,ELÉTRICA  CAIXA ENERGIA DANIFICADA,,"0,00%"
,ABRIGOS,FILIAL LESTE,CARRAO,ELÉTRICA  FIAÇÃO POSTE DESCONECTADA,,"0,00%"
,ABRIGOS,FILIAL LESTE,CARRAO,ELÉTRICA  FIAÇÃO EXPOSTA,,"0,00%"
,ABRIGOS,FILIAL LESTE,CARRAO,ELÉTRICA  LUMINÁRIA ACESA DE DIA,,"0,00%"
,ABRIGOS,FILIAL LESTE,CARRAO,ELÉTRICA  LUMINÁRIA AUSENTE,,"0,00%"
,ABRIGOS,FILIAL LESTE,CARRAO,ELÉTRICA  LUMINÁRIA DANIFICADA,2,"0,12%"
,ABRIGOS,FILIAL LESTE,CARRAO,ELÉTRICA  POSTE AUXILIAR SUPRIMIDO,,"0,00%"
,ABRIGOS,FILIAL LESTE,CARRAO,ESTRUTURA ABRIGO  BANCO PICHADO,,"0,00%"
,ABRIGOS,FILIAL LESTE,CARRAO,ESTRUTURA ABRIGO  BANCO QUEBRADO,,"0,00%"
,ABRIGOS,FILIAL LESTE,CARRAO,ESTRUTURA ABRIGO  COLAGEM,,"0,00%"
,ABRIGOS,FILIAL LESTE,CARRAO,ESTRUTURA ABRIGO  DANIFICADA,,"0,00%"
,ABRIGOS,FILIAL LESTE,CARRAO,ESTRUTURA ABRIGO  PINTURA RISCADA/DANIFICADA,,"0,00%"
,ABRIGOS,FILIAL LESTE,CARRAO,ESTRUTURA ABRIGO  PICHAÇÃO,,"0,00%"
,ABRIGOS,FILIAL LESTE,CARRAO,ESTRUTURA ABRIGO  SPIDER,,"0,00%"
,ABRIGOS,FILIAL LESTE,CARRAO,ESTRUTURA ABRIGO  SUJO,,"0,00%"
,ABRIGOS,FILIAL LESTE,CARRAO,ITINERARIO  AUSENTE,1,"0,06%"
,ABRIGOS,FILIAL LESTE,CARRAO,ITINERARIO  DANIFICADO PARCIALMENTE,,"0,00%"
,ABRIGOS,FILIAL LESTE,CARRAO,ITINERARIO  PICTOGRAMA DANIFICADO,,"0,00%"
,ABRIGOS,FILIAL LESTE,CARRAO,PAINEL  FERRUGEM,,"0,00%"
,ABRIGOS,FILIAL LESTE,CARRAO,PAINEL  SUJO,,"0,00%"
,ABRIGOS,FILIAL LESTE,CARRAO,PAINEL  ILUMINADO DE DIA,,"0,00%"
,ABRIGOS,FILIAL LESTE,CARRAO,PAINEL  INEXISTENTE,,"0,00%"
,ABRIGOS,FILIAL LESTE,CARRAO,PAINEL  VIDRO QUEBRADO,,"0,00%"
,ABRIGOS,FILIAL LESTE,CARRAO,PISO  ENTORNO INADEQUADO,,"0,00%"
,ABRIGOS,FILIAL LESTE,CARRAO,PISO  PODOTATIL AUSENTE,,"0,00%"
,ABRIGOS,FILIAL LESTE,CARRAO,TOTEM  COM COLAGEM,,"0,00%"
,ABRIGOS,FILIAL LESTE,CARRAO,PISO  PODOTATIL DANIFICADO,2,"0,12%"
,ABRIGOS,FILIAL LESTE,CARRAO,PISO  SUJO,,"0,00%"
,ABRIGOS,FILIAL LESTE,CARRAO,TOTEM  COM FERRUGEM,,"0,00%"
,ABRIGOS,FILIAL LESTE,CARRAO,TOTEM  INCLINADO/BASE DANIFICADA,,"0,00%"
,ABRIGOS,FILIAL LESTE,CARRAO,TOTEM  INEXISTENTE/SUPRIMIDO,,"0,00%"
,ABRIGOS,FILIAL LESTE,CARRAO,TOTEM  PICHAÇÃO,,"0,00%"
,ABRIGOS,FILIAL LESTE,CARRAO,TOTEM  RISCADO,,"0,00%"
,ABRIGOS,FILIAL LESTE,CARRAO,TOTEM  RISCADO/DANIFICADO,,"0,00%"
,ABRIGOS,FILIAL LESTE,CARRAO,VIDRO  QUEBRADO,,"0,00%"
,ABRIGOS,FILIAL LESTE,CARRAO,VIDRO  ANTEPARO AUSENTE,,"0,00%"
,ABRIGOS,FILIAL LESTE,CARRAO,VIDRO  PICHAÇÃO,,"0,00%"
,ABRIGOS,FILIAL LESTE,CARRAO,VIDRO  RESINA,,"0,00%"
,ABRIGOS,FILIAL LESTE,CARRAO,VIDRO  RISCADO,3,"0,18%"
,ABRIGOS,FILIAL LESTE,CARRAO,VIDROS  COLAGEM,1,"0,06%"
,ABRIGOS,FILIAL LESTE,MOOCA,CAIXA DO PAINEL  DANIFICADA,,"0,00%"
,ABRIGOS,FILIAL LESTE,MOOCA,COBERTURA  DANIFICADA,,"0,00%"
,ABRIGOS,FILIAL LESTE,MOOCA,COBERTURA  SEM PLACAS,,"0,00%"
,ABRIGOS,FILIAL LESTE,MOOCA,COBERTURA  INFILTRAÇÃO,,"0,00%"
,ABRIGOS,FILIAL LESTE,MOOCA,COBERTURA  VIDRO QUEBRADO,,"0,00%"
,ABRIGOS,FILIAL LESTE,MOOCA,COBERTURA  SUJA,,"0,00%"
,ABRIGOS,FILIAL LESTE,MOOCA,ELÉTRICA  CAIXA ATERRAMENTO SEM TAMPA,,"0,00%"
,ABRIGOS,FILIAL LESTE,MOOCA,ELÉTRICA  CAIXA ENERGIA DANIFICADA,,"0,00%"
,ABRIGOS,FILIAL LESTE,MOOCA,ELÉTRICA  FIAÇÃO POSTE DESCONECTADA,,"0,00%"
,ABRIGOS,FILIAL LESTE,MOOCA,ELÉTRICA  FIAÇÃO EXPOSTA,,"0,00%"
,ABRIGOS,FILIAL LESTE,MOOCA,ELÉTRICA  LUMINÁRIA ACESA DE DIA,,"0,00%"
,ABRIGOS,FILIAL LESTE,MOOCA,ELÉTRICA  LUMINÁRIA AUSENTE,4,"0,24%"
,ABRIGOS,FILIAL LESTE,MOOCA,ELÉTRICA  LUMINÁRIA DANIFICADA,5,"0,30%"
,ABRIGOS,FILIAL LESTE,MOOCA,ELÉTRICA  POSTE AUXILIAR SUPRIMIDO,1,"0,06%"
,ABRIGOS,FILIAL LESTE,MOOCA,ESTRUTURA ABRIGO  BANCO PICHADO,,"0,00%"
,ABRIGOS,FILIAL LESTE,MOOCA,ESTRUTURA ABRIGO  BANCO QUEBRADO,,"0,00%"
,ABRIGOS,FILIAL LESTE,MOOCA,ESTRUTURA ABRIGO  COLAGEM,,"0,00%"
,ABRIGOS,FILIAL LESTE,MOOCA,ESTRUTURA ABRIGO  DANIFICADA,,"0,00%"
,ABRIGOS,FILIAL LESTE,MOOCA,ESTRUTURA ABRIGO  PINTURA RISCADA/DANIFICADA,,"0,00%"
,ABRIGOS,FILIAL LESTE,MOOCA,ESTRUTURA ABRIGO  PICHAÇÃO,,"0,00%"
,ABRIGOS,FILIAL LESTE,MOOCA,ESTRUTURA ABRIGO  SPIDER,,"0,00%"
,ABRIGOS,FILIAL LESTE,MOOCA,ESTRUTURA ABRIGO  SUJO,,"0,00%"
,ABRIGOS,FILIAL LESTE,MOOCA,ITINERARIO  AUSENTE,,"0,00%"
,ABRIGOS,FILIAL LESTE,MOOCA,ITINERARIO  DANIFICADO PARCIALMENTE,,"0,00%"
,ABRIGOS,FILIAL LESTE,MOOCA,ITINERARIO  PICTOGRAMA DANIFICADO,,"0,00%"
,ABRIGOS,FILIAL LESTE,MOOCA,PAINEL  FERRUGEM,1,"0,06%"
,ABRIGOS,FILIAL LESTE,MOOCA,PAINEL  SUJO,,"0,00%"
,ABRIGOS,FILIAL LESTE,MOOCA,PAINEL  ILUMINADO DE DIA,1,"0,06%"
,ABRIGOS,FILIAL LESTE,MOOCA,PAINEL  INEXISTENTE,,"0,00%"
,ABRIGOS,FILIAL LESTE,MOOCA,PAINEL  VIDRO QUEBRADO,,"0,00%"
,ABRIGOS,FILIAL LESTE,MOOCA,PISO  ENTORNO INADEQUADO,1,"0,06%"
,ABRIGOS,FILIAL LESTE,MOOCA,PISO  PODOTATIL AUSENTE,,"0,00%"
,ABRIGOS,FILIAL LESTE,MOOCA,TOTEM  COM COLAGEM,,"0,00%"
,ABRIGOS,FILIAL LESTE,MOOCA,PISO  PODOTATIL DANIFICADO,1,"0,06%"
,ABRIGOS,FILIAL LESTE,MOOCA,PISO  SUJO,,"0,00%"
,ABRIGOS,FILIAL LESTE,MOOCA,TOTEM  COM FERRUGEM,1,"0,06%"
,ABRIGOS,FILIAL LESTE,MOOCA,TOTEM  INCLINADO/BASE DANIFICADA,,"0,00%"
,ABRIGOS,FILIAL LESTE,MOOCA,TOTEM  INEXISTENTE/SUPRIMIDO,,"0,00%"
,ABRIGOS,FILIAL LESTE,MOOCA,TOTEM  PICHAÇÃO,,"0,00%"
,ABRIGOS,FILIAL LESTE,MOOCA,TOTEM  RISCADO,,"0,00%"
,ABRIGOS,FILIAL LESTE,MOOCA,TOTEM  RISCADO/DANIFICADO,,"0,00%"
,ABRIGOS,FILIAL LESTE,MOOCA,VIDRO  QUEBRADO,,"0,00%"
,ABRIGOS,FILIAL LESTE,MOOCA,VIDRO  ANTEPARO AUSENTE,,"0,00%"
,ABRIGOS,FILIAL LESTE,MOOCA,VIDRO  PICHAÇÃO,,"0,00%"
,ABRIGOS,FILIAL LESTE,MOOCA,VIDRO  RESINA,1,"0,06%"
,ABRIGOS,FILIAL LESTE,MOOCA,VIDRO  RISCADO,1,"0,06%"
,ABRIGOS,FILIAL LESTE,MOOCA,VIDROS  COLAGEM,3,"0,18%"
,ABRIGOS,FILIAL LESTE,SAO MATEUS,CAIXA DO PAINEL  DANIFICADA,,"0,00%"
,ABRIGOS,FILIAL LESTE,SAO MATEUS,COBERTURA  DANIFICADA,,"0,00%"
,ABRIGOS,FILIAL LESTE,SAO MATEUS,COBERTURA  SEM PLACAS,,"0,00%"
,ABRIGOS,FILIAL LESTE,SAO MATEUS,COBERTURA  INFILTRAÇÃO,1,"0,06%"
,ABRIGOS,FILIAL LESTE,SAO MATEUS,COBERTURA  VIDRO QUEBRADO,,"0,00%"
,ABRIGOS,FILIAL LESTE,SAO MATEUS,COBERTURA  SUJA,,"0,00%"
,ABRIGOS,FILIAL LESTE,SAO MATEUS,ELÉTRICA  CAIXA ATERRAMENTO SEM TAMPA,,"0,00%"
,ABRIGOS,FILIAL LESTE,SAO MATEUS,ELÉTRICA  CAIXA ENERGIA DANIFICADA,,"0,00%"
,ABRIGOS,FILIAL LESTE,SAO MATEUS,ELÉTRICA  FIAÇÃO POSTE DESCONECTADA,,"0,00%"
,ABRIGOS,FILIAL LESTE,SAO MATEUS,ELÉTRICA  FIAÇÃO EXPOSTA,,"0,00%"
,ABRIGOS,FILIAL LESTE,SAO MATEUS,ELÉTRICA  LUMINÁRIA ACESA DE DIA,,"0,00%"
,ABRIGOS,FILIAL LESTE,SAO MATEUS,ELÉTRICA  LUMINÁRIA AUSENTE,,"0,00%"
,ABRIGOS,FILIAL LESTE,SAO MATEUS,ELÉTRICA  LUMINÁRIA DANIFICADA,,"0,00%"
,ABRIGOS,FILIAL LESTE,SAO MATEUS,ELÉTRICA  POSTE AUXILIAR SUPRIMIDO,,"0,00%"
,ABRIGOS,FILIAL LESTE,SAO MATEUS,ESTRUTURA ABRIGO  BANCO PICHADO,,"0,00%"
,ABRIGOS,FILIAL LESTE,SAO MATEUS,ESTRUTURA ABRIGO  BANCO QUEBRADO,,"0,00%"
,ABRIGOS,FILIAL LESTE,SAO MATEUS,ESTRUTURA ABRIGO  COLAGEM,,"0,00%"
,ABRIGOS,FILIAL LESTE,SAO MATEUS,ESTRUTURA ABRIGO  DANIFICADA,,"0,00%"
,ABRIGOS,FILIAL LESTE,SAO MATEUS,ESTRUTURA ABRIGO  PINTURA RISCADA/DANIFICADA,,"0,00%"
,ABRIGOS,FILIAL LESTE,SAO MATEUS,ESTRUTURA ABRIGO  PICHAÇÃO,,"0,00%"
,ABRIGOS,FILIAL LESTE,SAO MATEUS,ESTRUTURA ABRIGO  SPIDER,,"0,00%"
,ABRIGOS,FILIAL LESTE,SAO MATEUS,ESTRUTURA ABRIGO  SUJO,,"0,00%"
,ABRIGOS,FILIAL LESTE,SAO MATEUS,ITINERARIO  AUSENTE,,"0,00%"
,ABRIGOS,FILIAL LESTE,SAO MATEUS,ITINERARIO  DANIFICADO PARCIALMENTE,,"0,00%"
,ABRIGOS,FILIAL LESTE,SAO MATEUS,ITINERARIO  PICTOGRAMA DANIFICADO,,"0,00%"
,ABRIGOS,FILIAL LESTE,SAO MATEUS,PAINEL  FERRUGEM,,"0,00%"
,ABRIGOS,FILIAL LESTE,SAO MATEUS,PAINEL  SUJO,,"0,00%"
,ABRIGOS,FILIAL LESTE,SAO MATEUS,PAINEL  ILUMINADO DE DIA,,"0,00%"
,ABRIGOS,FILIAL LESTE,SAO MATEUS,PAINEL  INEXISTENTE,,"0,00%"
,ABRIGOS,FILIAL LESTE,SAO MATEUS,PAINEL  VIDRO QUEBRADO,,"0,00%"
,ABRIGOS,FILIAL LESTE,SAO MATEUS,PISO  ENTORNO INADEQUADO,,"0,00%"
,ABRIGOS,FILIAL LESTE,SAO MATEUS,PISO  PODOTATIL AUSENTE,,"0,00%"
,ABRIGOS,FILIAL LESTE,SAO MATEUS,TOTEM  COM COLAGEM,,"0,00%"
,ABRIGOS,FILIAL LESTE,SAO MATEUS,PISO  PODOTATIL DANIFICADO,,"0,00%"
,ABRIGOS,FILIAL LESTE,SAO MATEUS,PISO  SUJO,,"0,00%"
,ABRIGOS,FILIAL LESTE,SAO MATEUS,TOTEM  COM FERRUGEM,,"0,00%"
,ABRIGOS,FILIAL LESTE,SAO MATEUS,TOTEM  INCLINADO/BASE DANIFICADA,,"0,00%"
,ABRIGOS,FILIAL LESTE,SAO MATEUS,TOTEM  INEXISTENTE/SUPRIMIDO,,"0,00%"
,ABRIGOS,FILIAL LESTE,SAO MATEUS,TOTEM  PICHAÇÃO,,"0,00%"
,ABRIGOS,FILIAL LESTE,SAO MATEUS,TOTEM  RISCADO,,"0,00%"
,ABRIGOS,FILIAL LESTE,SAO MATEUS,TOTEM  RISCADO/DANIFICADO,,"0,00%"
,ABRIGOS,FILIAL LESTE,SAO MATEUS,VIDRO  QUEBRADO,,"0,00%"
,ABRIGOS,FILIAL LESTE,SAO MATEUS,VIDRO  ANTEPARO AUSENTE,,"0,00%"
,ABRIGOS,FILIAL LESTE,SAO MATEUS,VIDRO  PICHAÇÃO,,"0,00%"
,ABRIGOS,FILIAL LESTE,SAO MATEUS,VIDRO  RESINA,,"0,00%"
,ABRIGOS,FILIAL LESTE,SAO MATEUS,VIDRO  RISCADO,,"0,00%"
,ABRIGOS,FILIAL LESTE,SAO MATEUS,VIDROS  COLAGEM,,"0,00%"
,ABRIGOS,FILIAL LESTE,SAO RAFAEL,CAIXA DO PAINEL  DANIFICADA,,"0,00%"
,ABRIGOS,FILIAL LESTE,SAO RAFAEL,COBERTURA  DANIFICADA,,"0,00%"
,ABRIGOS,FILIAL LESTE,SAO RAFAEL,COBERTURA  SEM PLACAS,,"0,00%"
,ABRIGOS,FILIAL LESTE,SAO RAFAEL,COBERTURA  INFILTRAÇÃO,,"0,00%"
