OFS,ELT,N ELETRO,REGIÃO,BAIRRO,ENDEREÇO,EQUIPAMENTO,LATITUDE,LONGITUDE,FILIAL,OCORRÊNCIAS,TIPO DE OCORRÊNCIAS,MANUTENÇÃO,STATUS,%
910395,20138800,T11308,LESTE,TATUAPE,"RUA TUIUTI, 2750",TOTEM MARROM,-23.549.718,-46.573.335,FILIAL LESTE,Piso,Podotatil Danificado,Corretiva,1,0%
910420,20138822,T11307,LESTE,TATUAPE,"RUA TUIUTI, 2440",TOTEM MARROM,-23.546.881,-46.573.986,FILIAL LESTE,Estrutura Abrigo,Colagem,Preventiva,1,0%
910420,20138822,T11307,LESTE,TATUAPE,"RUA TUIUTI, 2440",TOTEM MARROM,-23.546.881,-46.573.986,FILIAL LESTE,Itinerario,Pictograma Danificado,Preventiva,1,0%
910466,20138849,A02768,LESTE,TATUAPE,"RUA TUIUTI (RUA FERNÃO TAVARES ), 2040",CAOS LEVE,-23.543.557,-46.574.812,FILIAL LESTE,Itinerario,Pictograma Danificado,Preventiva,1,0%
910466,20138849,A02768,LESTE,TATUAPE,"RUA TUIUTI (RUA FERNÃO TAVARES ), 2040",CAOS LEVE,-23.543.557,-46.574.812,FILIAL LESTE,Piso,Podotatil Danificado,Corretiva,1,0%
910466,20138849,A02768,LESTE,TATUAPE,"RUA TUIUTI (RUA FERNÃO TAVARES ), 2040",CAOS LEVE,-23.543.557,-46.574.812,FILIAL LESTE,Totem,Com Colagem,Preventiva,1,0%
910466,20138849,A02768,LESTE,TATUAPE,"RUA TUIUTI (RUA FERNÃO TAVARES ), 2040",CAOS LEVE,-23.543.557,-46.574.812,FILIAL LESTE,Vidro,Pichação,Preventiva,1,0%
910466,20138849,A02768,LESTE,TATUAPE,"RUA TUIUTI (RUA FERNÃO TAVARES ), 2040",CAOS LEVE,-23.543.557,-46.574.812,FILIAL LESTE,Vidro,Colagem,Preventiva,1,0%
910517,20138892,T14826,LESTE,TATUAPE,"PRACA CORONEL SANDOVAL FIGUEIREDO, SN",TOTEM MARROM,-23.541.548,-46.574.337,FILIAL LESTE,Cobertura,Danificada,Corretiva,1,0%
910517,20138892,T14826,LESTE,TATUAPE,"PRACA CORONEL SANDOVAL FIGUEIREDO, SN",TOTEM MARROM,-23.541.548,-46.574.337,FILIAL LESTE,Estrutura Abrigo,Colagem,Preventiva,1,0%
910517,20138892,T14826,LESTE,TATUAPE,"PRACA CORONEL SANDOVAL FIGUEIREDO, SN",TOTEM MARROM,-23.541.548,-46.574.337,FILIAL LESTE,Estrutura Abrigo,Danificada,Corretiva,1,0%
910517,20138892,T14826,LESTE,TATUAPE,"PRACA CORONEL SANDOVAL FIGUEIREDO, SN",TOTEM MARROM,-23.541.548,-46.574.337,FILIAL LESTE,Itinerario,Ausente,Preventiva,1,0%
910517,20138892,T14826,LESTE,TATUAPE,"PRACA CORONEL SANDOVAL FIGUEIREDO, SN",TOTEM MARROM,-23.541.548,-46.574.337,FILIAL LESTE,Itinerario,Pictograma Danificado,Preventiva,1,0%
910517,20138892,T14826,LESTE,TATUAPE,"PRACA CORONEL SANDOVAL FIGUEIREDO, SN",TOTEM MARROM,-23.541.548,-46.574.337,FILIAL LESTE,Piso,Podotatil Ausente,Preventiva,1,0%
910517,20138892,T14826,LESTE,TATUAPE,"PRACA CORONEL SANDOVAL FIGUEIREDO, SN",TOTEM MARROM,-23.541.548,-46.574.337,FILIAL LESTE,Totem,Com Colagem,Preventiva,1,0%
910517,20138892,T14826,LESTE,TATUAPE,"PRACA CORONEL SANDOVAL FIGUEIREDO, SN",TOTEM MARROM,-23.541.548,-46.574.337,FILIAL LESTE,Cobertura,Suja,Preventiva,1,0%
910517,20138892,T14826,LESTE,TATUAPE,"PRACA CORONEL SANDOVAL FIGUEIREDO, SN",TOTEM MARROM,-23.541.548,-46.574.337,FILIAL LESTE,Cobertura,Ferrugem,Corretiva,1,0%
910517,20138892,T14826,LESTE,TATUAPE,"PRACA CORONEL SANDOVAL FIGUEIREDO, SN",TOTEM MARROM,-23.541.548,-46.574.337,FILIAL LESTE,Estrutura Abrigo,Sujo,Preventiva,1,0%
910517,20138892,T14826,LESTE,TATUAPE,"PRACA CORONEL SANDOVAL FIGUEIREDO, SN",TOTEM MARROM,-23.541.548,-46.574.337,FILIAL LESTE,Estrutura Abrigo,Desnível,Corretiva,1,0%
910517,20138892,T14826,LESTE,TATUAPE,"PRACA CORONEL SANDOVAL FIGUEIREDO, SN",TOTEM MARROM,-23.541.548,-46.574.337,FILIAL LESTE,Estrutura Abrigo,Assento com Desnível,Corretiva,1,0%
910610,20138959,T11273,LESTE,TATUAPE,"RUA COELHO LISBOA, 305",TOTEM MARROM,-23.546.956,-46.572.248,FILIAL LESTE,Piso,Entorno Inadequado,Corretiva,1,0%
910610,20138959,T11273,LESTE,TATUAPE,"RUA COELHO LISBOA, 305",TOTEM MARROM,-23.546.956,-46.572.248,FILIAL LESTE,Piso,Podotatil Danificado,Corretiva,1,0%
910610,20138959,T11273,LESTE,TATUAPE,"RUA COELHO LISBOA, 305",TOTEM MARROM,-23.546.956,-46.572.248,FILIAL LESTE,Totem,Com Colagem,Preventiva,1,0%
910640,20138974,T18230,LESTE,TATUAPE,"RUA EUCLIDES PACHECO, 439",TOTEM MARROM,-2.354.858,-46.570.492,FILIAL LESTE,Piso,Podotatil Danificado,Corretiva,1,0%
910640,20138974,T18230,LESTE,TATUAPE,"RUA EUCLIDES PACHECO, 439",TOTEM MARROM,-2.354.858,-46.570.492,FILIAL LESTE,Totem,Com Colagem,Preventiva,1,0%
910690,20138995,T11297,LESTE,TATUAPE,"RUA SERRA DO JAPI, 1332",TOTEM MARROM,-235.511,-46.567.724,FILIAL LESTE,Totem,Com Colagem,Preventiva,1,0%
910690,20138995,T11297,LESTE,TATUAPE,"RUA SERRA DO JAPI, 1332",TOTEM MARROM,-235.511,-46.567.724,FILIAL LESTE,Piso,Podotatil Danificado,Corretiva,1,0%
910707,20139002,A02759,LESTE,VILA FORMOSA,"RUA EMILIA MARENGO (RUA OTELO RIZZO), 55",CAOS ESTRUTURADO,-23.552.789,-46.566.541,FILIAL LESTE,Itinerario,Ausente,Preventiva,1,0%
910707,20139002,A02759,LESTE,VILA FORMOSA,"RUA EMILIA MARENGO (RUA OTELO RIZZO), 55",CAOS ESTRUTURADO,-23.552.789,-46.566.541,FILIAL LESTE,Estrutura Abrigo,Ferrugem,Corretiva,1,0%
910714,20139006,T11809,LESTE,VILA FORMOSA,"RUA EMILIA MARENGO, 180",TOTEM MARROM,-23.552.958,-46.565.717,FILIAL LESTE,Itinerario,Danificado Parcialmente,Corretiva,1,0%
910714,20139006,T11809,LESTE,VILA FORMOSA,"RUA EMILIA MARENGO, 180",TOTEM MARROM,-23.552.958,-46.565.717,FILIAL LESTE,Piso,Podotatil Danificado,Corretiva,1,0%
910714,20139006,T11809,LESTE,VILA FORMOSA,"RUA EMILIA MARENGO, 180",TOTEM MARROM,-23.552.958,-46.565.717,FILIAL LESTE,Totem,Com Colagem,Preventiva,1,0%
910720,20139010,T11274,LESTE,TATUAPE,"RUA EMILIA MARENGO, 291",TOTEM MARROM,-23.552.964,-46.564.355,FILIAL LESTE,Itinerario,Danificado Parcialmente,Corretiva,1,0%
910720,20139010,T11274,LESTE,TATUAPE,"RUA EMILIA MARENGO, 291",TOTEM MARROM,-23.552.964,-46.564.355,FILIAL LESTE,Totem,Com Colagem,Preventiva,1,0%
910727,20139016,T03853,LESTE,VILA FORMOSA,"RUA LUCILIA DE QUEIROZ, 65",TOTEM MARROM,-23.554.232,-46.562.221,FILIAL LESTE,Itinerario,Ausente,Preventiva,1,0%
910744,20139030,T04891,LESTE,AGUA RASA,"RUA MARECHAL BARBACENA, 445",TOTEM MARROM,-23.554.825,-46.574.696,FILIAL LESTE,Itinerario,Danificado Parcialmente,Corretiva,1,0%
910744,20139030,T04891,LESTE,AGUA RASA,"RUA MARECHAL BARBACENA, 445",TOTEM MARROM,-23.554.825,-46.574.696,FILIAL LESTE,Piso,Sujo,Preventiva,1,0%
910746,20139035,T04894,LESTE,AGUA RASA,"RUA MARECHAL BARBACENA, 749",TOTEM MARROM,-23.555.958,-4.657.197,FILIAL LESTE,Itinerario,Danificado Parcialmente,Corretiva,1,0%
910763,20139044,T18944,LESTE,TATUAPE,"PRACA ITUZAINGO, OP 10",TOTEM MARROM,-2.355.276,-46.572.316,FILIAL LESTE,Itinerario,Danificado Parcialmente,Corretiva,1,0%
919437,20145977,T11261,LESTE,TATUAPE,"RUA AZEVEDO SOARES, 548",TOTEM MARROM,-23.549.911,-4.657.136,FILIAL LESTE,Itinerario,Ausente,Preventiva,1,0%
919437,20145977,T11261,LESTE,TATUAPE,"RUA AZEVEDO SOARES, 548",TOTEM MARROM,-23.549.911,-4.657.136,FILIAL LESTE,Itinerario,Pictograma Danificado,Preventiva,1,0%
919437,20145977,T11261,LESTE,TATUAPE,"RUA AZEVEDO SOARES, 548",TOTEM MARROM,-23.549.911,-4.657.136,FILIAL LESTE,Piso,Podotatil Ausente,Preventiva,1,0%
919437,20145977,T11261,LESTE,TATUAPE,"RUA AZEVEDO SOARES, 548",TOTEM MARROM,-23.549.911,-4.657.136,FILIAL LESTE,Totem,Com Colagem,Preventiva,1,0%
919473,20145995,T11249,LESTE,TATUAPE,"LARGO NOSSA SENHORA DO BOM PARTO, 126",TOTEM MARROM,-23.549.365,-46.568.766,FILIAL LESTE,Totem,Com Ferrugem,Preventiva,1,0%
919500,20146016,T11260,LESTE,TATUAPE,"RUA AZEVEDO SOARES, 1126",TOTEM MARROM,-23.548.807,-46.565.861,FILIAL LESTE,Itinerario,Danificado Parcialmente,Corretiva,1,0%
919500,20146016,T11260,LESTE,TATUAPE,"RUA AZEVEDO SOARES, 1126",TOTEM MARROM,-23.548.807,-46.565.861,FILIAL LESTE,Totem,Pichação,Preventiva,1,0%
919545,20146032,T04669,LESTE,TATUAPE,"RUA AZEVEDO SOARES, 1338",TOTEM MARROM,-23.548.421,-46.563.839,FILIAL LESTE,Itinerario,Danificado Parcialmente,Corretiva,1,0%
919545,20146032,T04669,LESTE,TATUAPE,"RUA AZEVEDO SOARES, 1338",TOTEM MARROM,-23.548.421,-46.563.839,FILIAL LESTE,Piso,Podotatil Danificado,Corretiva,1,0%
919545,20146032,T04669,LESTE,TATUAPE,"RUA AZEVEDO SOARES, 1338",TOTEM MARROM,-23.548.421,-46.563.839,FILIAL LESTE,Totem,Abaixo do Permitido,Corretiva,1,0%
919593,20146051,T11255,LESTE,TATUAPE,"RUA APUCARANA, 1202",TOTEM MARROM,-23.548.858,-46.562.918,FILIAL LESTE,Itinerario,Pictograma Danificado,Preventiva,1,0%
919593,20146051,T11255,LESTE,TATUAPE,"RUA APUCARANA, 1202",TOTEM MARROM,-23.548.858,-46.562.918,FILIAL LESTE,Itinerario,Danificado Parcialmente,Corretiva,1,0%
919593,20146051,T11255,LESTE,TATUAPE,"RUA APUCARANA, 1202",TOTEM MARROM,-23.548.858,-46.562.918,FILIAL LESTE,Piso,Entorno Inadequado,Corretiva,1,0%
919658,20146087,A02754,LESTE,TATUAPE,"RUA AZEVEDO SOARES (RUA MONTE SERRAT ), 1750",CAOS LEVE,-23.547.625,-46.559.548,FILIAL LESTE,Estrutura Abrigo,Spider,Corretiva,1,0%
919658,20146087,A02754,LESTE,TATUAPE,"RUA AZEVEDO SOARES (RUA MONTE SERRAT ), 1750",CAOS LEVE,-23.547.625,-46.559.548,FILIAL LESTE,Itinerario,Pictograma Danificado,Preventiva,1,0%
919658,20146087,A02754,LESTE,TATUAPE,"RUA AZEVEDO SOARES (RUA MONTE SERRAT ), 1750",CAOS LEVE,-23.547.625,-46.559.548,FILIAL LESTE,Piso,Entorno Inadequado,Corretiva,1,0%
919658,20146087,A02754,LESTE,TATUAPE,"RUA AZEVEDO SOARES (RUA MONTE SERRAT ), 1750",CAOS LEVE,-23.547.625,-46.559.548,FILIAL LESTE,Totem,Com Ferrugem,Preventiva,1,0%
919658,20146087,A02754,LESTE,TATUAPE,"RUA AZEVEDO SOARES (RUA MONTE SERRAT ), 1750",CAOS LEVE,-23.547.625,-46.559.548,FILIAL LESTE,Vidro,Riscado,Preventiva,1,0%
919658,20146087,A02754,LESTE,TATUAPE,"RUA AZEVEDO SOARES (RUA MONTE SERRAT ), 1750",CAOS LEVE,-23.547.625,-46.559.548,FILIAL LESTE,Painel,Ferrugem,Corretiva,1,0%
919691,20146109,T03844,LESTE,TATUAPE,"RUA AZEVEDO SOARES, 1846",TOTEM MARROM,-23.547.359,-46.558.155,FILIAL LESTE,Itinerario,Danificado Parcialmente,Corretiva,1,0%
919691,20146109,T03844,LESTE,TATUAPE,"RUA AZEVEDO SOARES, 1846",TOTEM MARROM,-23.547.359,-46.558.155,FILIAL LESTE,Piso,Entorno Inadequado,Corretiva,1,0%
919691,20146109,T03844,LESTE,TATUAPE,"RUA AZEVEDO SOARES, 1846",TOTEM MARROM,-23.547.359,-46.558.155,FILIAL LESTE,Piso,Podotatil Danificado,Corretiva,1,0%
919691,20146109,T03844,LESTE,TATUAPE,"RUA AZEVEDO SOARES, 1846",TOTEM MARROM,-23.547.359,-46.558.155,FILIAL LESTE,Totem,Pichação,Preventiva,1,0%
919732,20146140,T11276,LESTE,TATUAPE,"RUA FRANCISCO MARENGO, 744",TOTEM MARROM,-23.543.716,-46.558.795,FILIAL LESTE,Itinerario,Danificado Parcialmente,Corretiva,1,0%
919732,20146140,T11276,LESTE,TATUAPE,"RUA FRANCISCO MARENGO, 744",TOTEM MARROM,-23.543.716,-46.558.795,FILIAL LESTE,Piso,Entorno Inadequado,Corretiva,1,0%
919806,20146172,A02763,LESTE,TATUAPE,"RUA FRANCISCO MARENGO (RUA EMÍLIO MALLET), 947",CAOS ESTRUTURADO,-23.545.318,-46.558.318,FILIAL LESTE,Vidro,Pichação,Preventiva,1,0%
919806,20146172,A02763,LESTE,TATUAPE,"RUA FRANCISCO MARENGO (RUA EMÍLIO MALLET), 947",CAOS ESTRUTURADO,-23.545.318,-46.558.318,FILIAL LESTE,Estrutura Abrigo,Sujo,Preventiva,1,0%
919832,20146187,T11278,LESTE,TATUAPE,"RUA FRANCISCO MARENGO, 1112",TOTEM MARROM,-23.546.944,-4.655.801,FILIAL LESTE,Itinerario,Pictograma Danificado,Preventiva,1,0%
919832,20146187,T11278,LESTE,TATUAPE,"RUA FRANCISCO MARENGO, 1112",TOTEM MARROM,-23.546.944,-4.655.801,FILIAL LESTE,Itinerario,Danificado Parcialmente,Corretiva,1,0%
919868,20146199,T11257,LESTE,CARRAO,"RUA AZEVEDO SOARES, 2168",TOTEM MARROM,-23.546.876,-46.555.641,FILIAL LESTE,Itinerario,Pictograma Danificado,Preventiva,1,0%
919868,20146199,T11257,LESTE,CARRAO,"RUA AZEVEDO SOARES, 2168",TOTEM MARROM,-23.546.876,-46.555.641,FILIAL LESTE,Itinerario,Danificado Parcialmente,Corretiva,1,0%
919868,20146199,T11257,LESTE,CARRAO,"RUA AZEVEDO SOARES, 2168",TOTEM MARROM,-23.546.876,-46.555.641,FILIAL LESTE,Piso,Podotatil Danificado,Corretiva,1,0%
919904,20146213,T19380,LESTE,VILA FORMOSA,"RUA ANTONIO DE BARROS, 1831",TOTEM MARROM,-23.545.978,-46.555.627,FILIAL LESTE,Piso,Entorno Inadequado,Corretiva,1,0%
919928,20146223,T03948,LESTE,CARRAO,"RUA ANTONIO DE BARROS, 2033",TOTEM MARROM,-23.547.969,-46.555.098,FILIAL LESTE,Itinerario,Ausente,Preventiva,1,0%
919928,20146223,T03948,LESTE,CARRAO,"RUA ANTONIO DE BARROS, 2033",TOTEM MARROM,-23.547.969,-46.555.098,FILIAL LESTE,Itinerario,Pictograma Danificado,Preventiva,1,0%
919928,20146223,T03948,LESTE,CARRAO,"RUA ANTONIO DE BARROS, 2033",TOTEM MARROM,-23.547.969,-46.555.098,FILIAL LESTE,Totem,Com Colagem,Preventiva,1,0%
919951,20146238,A02748,LESTE,TATUAPE,"RUA ANTONIO DE BARROS (RUA PASSOS OURIQUE), 2160",CAOS ESTRUTURADO,-23.549.082,-46.554.891,FILIAL LESTE,Piso,Podotatil Danificado,Corretiva,1,0%
919951,20146238,A02748,LESTE,TATUAPE,"RUA ANTONIO DE BARROS (RUA PASSOS OURIQUE), 2160",CAOS ESTRUTURADO,-23.549.082,-46.554.891,FILIAL LESTE,Vidro,Riscado,Preventiva,1,0%
919951,20146238,A02748,LESTE,TATUAPE,"RUA ANTONIO DE BARROS (RUA PASSOS OURIQUE), 2160",CAOS ESTRUTURADO,-23.549.082,-46.554.891,FILIAL LESTE,Vidro,Anteparo Ausente,Corretiva,1,0%
919974,20146250,A02749,LESTE,CARRAO,"RUA ANTONIO DE BARROS (RUA PROFº PEDREIRA DE FREITAS), 2231",CAOS ESTRUTURADO,-23.549.501,-46.554.687,FILIAL LESTE,Piso,Podotatil Danificado,Corretiva,1,0%
919974,20146250,A02749,LESTE,CARRAO,"RUA ANTONIO DE BARROS (RUA PROFº PEDREIRA DE FREITAS), 2231",CAOS ESTRUTURADO,-23.549.501,-46.554.687,FILIAL LESTE,Vidro,Riscado,Preventiva,1,0%
920004,20146604,A02750,LESTE,TATUAPE,"RUA ANTONIO DE BARROS (RUA AGUAPEI ), 2450",CAOS LEVE,-23.551.826,-46.554.193,FILIAL LESTE,Vidro,Riscado,Preventiva,1,0%
920004,20146604,A02750,LESTE,TATUAPE,"RUA ANTONIO DE BARROS (RUA AGUAPEI ), 2450",CAOS LEVE,-23.551.826,-46.554.193,FILIAL LESTE,Estrutura Abrigo,Ferrugem,Corretiva,1,0%
920004,20146604,A02750,LESTE,TATUAPE,"RUA ANTONIO DE BARROS (RUA AGUAPEI ), 2450",CAOS LEVE,-23.551.826,-46.554.193,FILIAL LESTE,Painel,Porta Aberta,Corretiva,1,0%
920004,20146604,A02750,LESTE,TATUAPE,"RUA ANTONIO DE BARROS (RUA AGUAPEI ), 2450",CAOS LEVE,-23.551.826,-46.554.193,FILIAL LESTE,Vidro,Colagem,Preventiva,1,0%
920004,20146604,A02750,LESTE,TATUAPE,"RUA ANTONIO DE BARROS (RUA AGUAPEI ), 2450",CAOS LEVE,-23.551.826,-46.554.193,FILIAL LESTE,Elétrica,Iluminação,Preventiva,1,0%
920004,20146604,A02750,LESTE,TATUAPE,"RUA ANTONIO DE BARROS (RUA AGUAPEI ), 2450",CAOS LEVE,-23.551.826,-46.554.193,FILIAL LESTE,Painel,Kit de Iluminação,Preventiva,1,0%
920088,20146616,A02172,LESTE,CARRAO,"RUA ANTONIO DE BARROS, 2501",CAOS LEVE,-23.552.163,-46.553.987,FILIAL LESTE,Itinerario,Pictograma Danificado,Preventiva,1,0%
920088,20146616,A02172,LESTE,CARRAO,"RUA ANTONIO DE BARROS, 2501",CAOS LEVE,-23.552.163,-46.553.987,FILIAL LESTE,Itinerario,Danificado Parcialmente,Corretiva,1,0%
920088,20146616,A02172,LESTE,CARRAO,"RUA ANTONIO DE BARROS, 2501",CAOS LEVE,-23.552.163,-46.553.987,FILIAL LESTE,Vidro,Riscado,Preventiva,1,0%
920088,20146616,A02172,LESTE,CARRAO,"RUA ANTONIO DE BARROS, 2501",CAOS LEVE,-23.552.163,-46.553.987,FILIAL LESTE,Vidro,Anteparo Ausente,Corretiva,1,0%
920847,20147022,T18232,LESTE,TATUAPE,"RUA EUCLIDES PACHECO, 998",TOTEM MARROM,-23.547.543,-46.565.229,FILIAL LESTE,Itinerario,Danificado Parcialmente,Corretiva,1,0%
920847,20147022,T18232,LESTE,TATUAPE,"RUA EUCLIDES PACHECO, 998",TOTEM MARROM,-23.547.543,-46.565.229,FILIAL LESTE,Piso,Podotatil Danificado,Corretiva,1,0%
920892,20147065,T18233,LESTE,TATUAPE,"RUA EUCLIDES PACHECO, 1245",TOTEM MARROM,-23.547.076,-46.562.772,FILIAL LESTE,Piso,Podotatil Danificado,Corretiva,1,0%
920907,20147077,T18236,LESTE,TATUAPE,"RUA EUCLIDES PACHECO, 1499",TOTEM MARROM,-23.546.584,-46.560.364,FILIAL LESTE,Itinerario,Danificado Parcialmente,Corretiva,1,0%
920907,20147077,T18236,LESTE,TATUAPE,"RUA EUCLIDES PACHECO, 1499",TOTEM MARROM,-23.546.584,-46.560.364,FILIAL LESTE,Totem,Com Colagem,Preventiva,1,0%
920926,20147091,T18234,LESTE,TATUAPE,"RUA EUCLIDES PACHECO, 1769",TOTEM MARROM,-23.546.063,-46.557.735,FILIAL LESTE,Sem Ocorrências,Sem Ocorrências,Preventiva,1,0%
920953,20147113,T19379,LESTE,VILA FORMOSA,"RUA ANTONIO DE BARROS, 1500 OP",TOTEM MARROM,-23.543.294,-46.556.499,FILIAL LESTE,Sem Ocorrências,Sem Ocorrências,Preventiva,1,0%
920992,20147134,T11267,LESTE,TATUAPE,"RUA CANTAGALO, 1568",TOTEM MARROM,-23.544.181,-46.558.845,FILIAL LESTE,Itinerario,Pictograma Danificado,Preventiva,1,0%
920992,20147134,T11267,LESTE,TATUAPE,"RUA CANTAGALO, 1568",TOTEM MARROM,-23.544.181,-46.558.845,FILIAL LESTE,Itinerario,Danificado Parcialmente,Corretiva,1,0%
920992,20147134,T11267,LESTE,TATUAPE,"RUA CANTAGALO, 1568",TOTEM MARROM,-23.544.181,-46.558.845,FILIAL LESTE,Piso,Entorno Inadequado,Corretiva,1,0%
920992,20147134,T11267,LESTE,TATUAPE,"RUA CANTAGALO, 1568",TOTEM MARROM,-23.544.181,-46.558.845,FILIAL LESTE,Totem,Pichação,Preventiva,1,0%
921008,20147141,T11268,LESTE,TATUAPE,"RUA CANTAGALO, 1368",TOTEM MARROM,-23.544.599,-4.656.081,FILIAL LESTE,Itinerario,Danificado Parcialmente,Corretiva,1,0%
921008,20147141,T11268,LESTE,TATUAPE,"RUA CANTAGALO, 1368",TOTEM MARROM,-23.544.599,-4.656.081,FILIAL LESTE,Piso,Entorno Inadequado,Corretiva,1,0%
921051,20147171,T11295,LESTE,TATUAPE,"RUA SERRA DE BRAGANCA, 854",TOTEM MARROM,-23.544.724,-46.567.053,FILIAL LESTE,Piso,Podotatil Danificado,Corretiva,1,0%
921074,20147185,T02882,LESTE,TATUAPE,"RUA SERRA DE BRAGANCA, 584",TOTEM MARROM,-23.545.278,-46.569.665,FILIAL LESTE,Itinerario,Ausente,Preventiva,1,0%
921074,20147185,T02882,LESTE,TATUAPE,"RUA SERRA DE BRAGANCA, 584",TOTEM MARROM,-23.545.278,-46.569.665,FILIAL LESTE,Piso,Podotatil Danificado,Corretiva,1,0%
921074,20147185,T02882,LESTE,TATUAPE,"RUA SERRA DE BRAGANCA, 584",TOTEM MARROM,-23.545.278,-46.569.665,FILIAL LESTE,Totem,Com Colagem,Preventiva,1,0%
921152,20147235,A02744,LESTE,TATUAPE,"PRAÇA SILVIO ROMERO, 229",CAOS ESTRUTURADO,-23.545.403,-46.572.661,FILIAL LESTE,Itinerario,Ausente,Preventiva,1,0%
921152,20147235,A02744,LESTE,TATUAPE,"PRAÇA SILVIO ROMERO, 229",CAOS ESTRUTURADO,-23.545.403,-46.572.661,FILIAL LESTE,Totem,Pichação,Preventiva,1,0%
921152,20147235,A02744,LESTE,TATUAPE,"PRAÇA SILVIO ROMERO, 229",CAOS ESTRUTURADO,-23.545.403,-46.572.661,FILIAL LESTE,Vidro,Pichação,Preventiva,1,0%
921152,20147235,A02744,LESTE,TATUAPE,"PRAÇA SILVIO ROMERO, 229",CAOS ESTRUTURADO,-23.545.403,-46.572.661,FILIAL LESTE,Vidro,Riscado,Preventiva,1,0%
921152,20147235,A02744,LESTE,TATUAPE,"PRAÇA SILVIO ROMERO, 229",CAOS ESTRUTURADO,-23.545.403,-46.572.661,FILIAL LESTE,Estrutura Abrigo,Sujo,Preventiva,1,0%
921152,20147235,A02744,LESTE,TATUAPE,"PRAÇA SILVIO ROMERO, 229",CAOS ESTRUTURADO,-23.545.403,-46.572.661,FILIAL LESTE,Estrutura Abrigo,Ferrugem,Corretiva,1,0%
921152,20147235,A02744,LESTE,TATUAPE,"PRAÇA SILVIO ROMERO, 229",CAOS ESTRUTURADO,-23.545.403,-46.572.661,FILIAL LESTE,Painel,Porta Aberta,Corretiva,1,0%
924580,20149943,T11300,LESTE,TATUAPE,"RUA TIJUCO PRETO, 131",TOTEM MARROM,-23.544.479,-46.574.389,FILIAL LESTE,Piso,Podotatil Danificado,Corretiva,1,0%
924580,20149943,T11300,LESTE,TATUAPE,"RUA TIJUCO PRETO, 131",TOTEM MARROM,-23.544.479,-46.574.389,FILIAL LESTE,Totem,Com Colagem,Preventiva,1,0%
924612,20149961,T18792,LESTE,TATUAPE,"RUA TIJUCO PRETO, 367",TOTEM MARROM,-2.354.402,-46.572.212,FILIAL LESTE,Sem Ocorrências,Sem Ocorrências,Preventiva,1,0%
924650,20149973,T11303,LESTE,TATUAPE,"RUA TIJUCO PRETO, 671",TOTEM MARROM,-23.543.492,-46.569.272,FILIAL LESTE,Itinerario,Danificado Parcialmente,Corretiva,1,0%
924650,20149973,T11303,LESTE,TATUAPE,"RUA TIJUCO PRETO, 671",TOTEM MARROM,-23.543.492,-46.569.272,FILIAL LESTE,Totem,Com Colagem,Preventiva,1,0%
924682,20149978,T11302,LESTE,TATUAPE,"RUA TIJUCO PRETO, 821",TOTEM MARROM,-23.543.182,-46.567.794,FILIAL LESTE,Piso,Entorno Inadequado,Corretiva,1,0%
924789,20150003,A02770,LESTE,TATUAPE,"RUA SERRA DE BOTUCATU (RUA ANTÔNIO DE BARROS ), OP 1486",CAOS ESTRUTURADO,-23.541.712,-46.557.403,FILIAL LESTE,Totem,Com Colagem,Preventiva,1,0%
