FILIAL,SEMANA,NOVO/PERMANECE,PENDENCIA,DANIFICADOS,BONIFICAÇÃO,Total
FILIAL LESTE,9,NOVO,OK,OK,VENDA,169
FILIAL LESTE,9,NOVO,ITEM PENDENTE,OK,VENDA,26
FILIAL LESTE,9,PERMANECE,OK,DANIFICADO,VENDA,1
FILIAL LESTE,9,PERMANECE,OK,OK,VENDA,578
FILIAL LESTE,9,PERMANECE,ITEM PENDENTE,OK,VENDA,5
FILIAL LESTE,10,NOVO,OK,DANIFICADO,VENDA,3
FILIAL LESTE,10,NOVO,OK,OK,VENDA,421
FILIAL LESTE,10,NOVO,ITEM PENDENTE,OK,VENDA,36
FILIAL LESTE,10,PERMANECE,OK,DANIFICADO,VENDA,1
FILIAL LESTE,10,PERMANECE,OK,OK,VENDA,298
FILIAL LESTE,10,PERMANECE,ITEM PENDENTE,OK,VENDA,16
FILIAL LESTE,11,NOVO,OK,DANIFICADO,VENDA,1
FILIAL LESTE,11,NOVO,OK,OK,VENDA,367
FILIAL LESTE,11,NOVO,OK,OUTROS,VENDA,1
FILIAL LESTE,11,NOVO,ITEM PENDENTE,OK,VENDA,62
FILIAL LESTE,11,PERMANECE,OK,DANIFICADO,VENDA,2
FILIAL LESTE,11,PERMANECE,OK,OK,VENDA,327
FILIAL LESTE,11,PERMANECE,ITEM PENDENTE,OK,VENDA,8
FILIAL LESTE,12,NOVO,OK,OK,VENDA,242
FILIAL LESTE,12,NOVO,ITEM PENDENTE,OK,VENDA,9
FILIAL LESTE,12,PERMANECE,OK,DANIFICADO,VENDA,1
FILIAL LESTE,12,PERMANECE,OK,OK,VENDA,295
FILIAL LESTE,12,PERMANECE,ITEM PENDENTE,OK,VENDA,221
FILIAL LESTE,13,NOVO,OK,DANIFICADO,VENDA,1
FILIAL LESTE,13,NOVO,OK,OK,VENDA,260
FILIAL LESTE,13,NOVO,ITEM PENDENTE,OK,VENDA,4
FILIAL LESTE,13,PERMANECE,OK,DANIFICADO,VENDA,2
FILIAL LESTE,13,PERMANECE,OK,OK,VENDA,497
FILIAL LESTE,13,PERMANECE,ITEM PENDENTE,OK,VENDA,4
FILIAL LESTE,14,NOVO,OK,DANIFICADO,VENDA,2
FILIAL LESTE,14,NOVO,OK,OK,VENDA,567
FILIAL LESTE,14,NOVO,OK,OUTROS,VENDA,3
FILIAL LESTE,14,NOVO,ITEM PENDENTE,OK,VENDA,28
FILIAL LESTE,14,PERMANECE,OK,DANIFICADO,VENDA,2
FILIAL LESTE,14,PERMANECE,OK,OK,VENDA,161
FILIAL LESTE,14,PERMANECE,OK,OUTROS,VENDA,1
FILIAL LESTE,14,PERMANECE,ITEM PENDENTE,OK,VENDA,5
FILIAL LESTE,15,NOVO,OK,OK,VENDA,246
FILIAL LESTE,15,NOVO,ITEM PENDENTE,OK,VENDA,2
FILIAL LESTE,15,PERMANECE,OK,DANIFICADO,VENDA,2
FILIAL LESTE,15,PERMANECE,OK,OK,VENDA,515
FILIAL LESTE,15,PERMANECE,OK,OUTROS,VENDA,1
FILIAL LESTE,15,PERMANECE,ITEM PENDENTE,OK,VENDA,3
FILIAL LESTE,16,NOVO,OK,OK,VENDA,377
FILIAL LESTE,16,NOVO,OK,OUTROS,VENDA,1
FILIAL LESTE,16,NOVO,ITEM PENDENTE,OK,VENDA,1
FILIAL LESTE,16,PERMANECE,OK,OK,VENDA,388
FILIAL LESTE,16,PERMANECE,OK,OUTROS,VENDA,1
FILIAL LESTE,16,PERMANECE,ITEM PENDENTE,OK,VENDA,2
FILIAL LESTE,17,NOVO,OK,OK,VENDA,400
FILIAL LESTE,17,NOVO,ITEM PENDENTE,OK,VENDA,14
FILIAL LESTE,17,NOVO,ITEM PENDENTE,OUTROS,VENDA,2
FILIAL LESTE,17,PERMANECE,OK,DANIFICADO,VENDA,1
FILIAL LESTE,17,PERMANECE,OK,OK,VENDA,340
FILIAL LESTE,17,PERMANECE,OK,OUTROS,VENDA,1
FILIAL LESTE,17,PERMANECE,ITEM PENDENTE,OK,VENDA,12
FILIAL LESTE,18,NOVO,OK,OK,VENDA,442
FILIAL LESTE,18,NOVO,OK,OUTROS,VENDA,1
FILIAL LESTE,18,NOVO,ITEM PENDENTE,OK,VENDA,2
FILIAL LESTE,18,PERMANECE,OK,DANIFICADO,VENDA,1
FILIAL LESTE,18,PERMANECE,OK,OK,VENDA,316
FILIAL LESTE,18,PERMANECE,ITEM PENDENTE,OK,VENDA,8
FILIAL LESTE,19,NOVO,OK,OK,VENDA,569
FILIAL LESTE,19,NOVO,ITEM PENDENTE,OK,VENDA,7
FILIAL LESTE,19,PERMANECE,OK,OK,VENDA,192
FILIAL LESTE,19,PERMANECE,ITEM PENDENTE,OK,VENDA,2
FILIAL LESTE,20,NOVO,OK,DANIFICADO,VENDA,2
FILIAL LESTE,20,NOVO,OK,OK,VENDA,342
FILIAL LESTE,20,NOVO,ITEM PENDENTE,OK,VENDA,8
FILIAL LESTE,20,PERMANECE,OK,DANIFICADO,VENDA,1
FILIAL LESTE,20,PERMANECE,OK,OK,VENDA,417
FILIAL LESTE,20,PERMANECE,ITEM PENDENTE,OK,VENDA,1
FILIAL LESTE,21,NOVO,OK,DANIFICADO,VENDA,2
FILIAL LESTE,21,NOVO,OK,OK,VENDA,228
FILIAL LESTE,21,NOVO,ITEM PENDENTE,OK,VENDA,119
FILIAL LESTE,21,PERMANECE,OK,DANIFICADO,VENDA,1
FILIAL LESTE,21,PERMANECE,OK,OK,VENDA,408
FILIAL LESTE,21,PERMANECE,OK,OUTROS,VENDA,1
FILIAL LESTE,21,PERMANECE,ITEM PENDENTE,OK,VENDA,12
FILIAL LESTE,22,NOVO,OK,OK,VENDA,445
FILIAL LESTE,22,NOVO,ITEM PENDENTE,OK,VENDA,3
FILIAL LESTE,22,PERMANECE,OK,OK,VENDA,321
FILIAL LESTE,22,PERMANECE,ITEM PENDENTE,OK,VENDA,2
FILIAL LESTE,23,NOVO,OK,DANIFICADO,VENDA,1
FILIAL LESTE,23,NOVO,OK,OK,VENDA,237
FILIAL LESTE,23,NOVO,ITEM PENDENTE,OK,VENDA,2
FILIAL LESTE,23,PERMANECE,OK,DANIFICADO,VENDA,1
FILIAL LESTE,23,PERMANECE,OK,OK,VENDA,529
FILIAL LESTE,23,PERMANECE,ITEM PENDENTE,OK,VENDA,2
FILIAL LESTE,24,NOVO,OK,OK,VENDA,457
FILIAL LESTE,24,NOVO,ITEM PENDENTE,OK,VENDA,21
FILIAL LESTE,24,PERMANECE,OK,OK,VENDA,275
FILIAL LESTE,24,PERMANECE,ITEM PENDENTE,OK,VENDA,19
FILIAL LESTE,25,NOVO,OK,DANIFICADO,VENDA,1
FILIAL LESTE,25,NOVO,OK,OK,VENDA,403
FILIAL LESTE,25,NOVO,ITEM PENDENTE,OK,VENDA,3
FILIAL LESTE,25,PERMANECE,OK,OK,VENDA,359
FILIAL LESTE,25,PERMANECE,OK,OUTROS,VENDA,1
FILIAL LESTE,25,PERMANECE,ITEM PENDENTE,OK,VENDA,5
FILIAL LESTE,26,NOVO,OK,OK,VENDA,249
FILIAL LESTE,26,NOVO,OK,OUTROS,VENDA,2
FILIAL LESTE,26,NOVO,ITEM PENDENTE,OK,VENDA,27
FILIAL LESTE,26,PERMANECE,OK,OK,VENDA,464
FILIAL LESTE,26,PERMANECE,OK,OUTROS,VENDA,1
FILIAL LESTE,26,PERMANECE,ITEM PENDENTE,OK,VENDA,29
FILIAL LESTE,27,NOVO,OK,DANIFICADO,VENDA,1
FILIAL LESTE,27,NOVO,OK,OK,VENDA,462
FILIAL LESTE,27,NOVO,OK,OUTROS,VENDA,8
FILIAL LESTE,27,NOVO,ITEM PENDENTE,OK,VENDA,27
FILIAL LESTE,27,NOVO,ITEM PENDENTE,OUTROS,VENDA,1
FILIAL LESTE,27,PERMANECE,OK,DANIFICADO,VENDA,1
FILIAL LESTE,27,PERMANECE,OK,OK,VENDA,266
FILIAL LESTE,27,PERMANECE,ITEM PENDENTE,OK,VENDA,5
FILIAL LESTE,28,NOVO,OK,OK,VENDA,336
FILIAL LESTE,28,NOVO,ITEM PENDENTE,OK,VENDA,4
FILIAL LESTE,28,PERMANECE,OK,DANIFICADO,VENDA,2
FILIAL LESTE,28,PERMANECE,OK,OK,VENDA,420
FILIAL LESTE,28,PERMANECE,OK,OUTROS,VENDA,3
FILIAL LESTE,28,PERMANECE,ITEM PENDENTE,OK,VENDA,4
FILIAL LESTE,28,PERMANECE,ITEM PENDENTE,OUTROS,VENDA,1
FILIAL LESTE,29,NOVO,OK,OK,VENDA,267
FILIAL LESTE,29,NOVO,OK,OUTROS,VENDA,2
FILIAL LESTE,29,NOVO,ITEM PENDENTE,OK,VENDA,1
FILIAL LESTE,29,PERMANECE,OK,OK,VENDA,493
FILIAL LESTE,29,PERMANECE,ITEM PENDENTE,OK,VENDA,5
FILIAL LESTE,30,NOVO,OK,OK,VENDA,264
FILIAL LESTE,30,NOVO,OK,OUTROS,VENDA,3
FILIAL LESTE,30,NOVO,ITEM PENDENTE,OK,VENDA,12
FILIAL LESTE,30,PERMANECE,OK,DANIFICADO,VENDA,1
FILIAL LESTE,30,PERMANECE,OK,OK,VENDA,476
FILIAL LESTE,30,PERMANECE,OK,OUTROS,VENDA,2
FILIAL LESTE,30,PERMANECE,ITEM PENDENTE,OK,VENDA,5
FILIAL LESTE,31,NOVO,OK,OK,VENDA,306
FILIAL LESTE,31,NOVO,OK,OUTROS,VENDA,1
FILIAL LESTE,31,NOVO,ITEM PENDENTE,OK,VENDA,75
FILIAL LESTE,31,NOVO,ITEM PENDENTE,OUTROS,VENDA,1
FILIAL LESTE,31,PERMANECE,OK,OK,VENDA,368
FILIAL LESTE,31,PERMANECE,ITEM PENDENTE,OK,VENDA,5
FILIAL LESTE,32,NOVO,OK,OK,VENDA,410
FILIAL LESTE,32,NOVO,OK,OUTROS,VENDA,6
FILIAL LESTE,32,NOVO,ITEM PENDENTE,OK,VENDA,75
FILIAL LESTE,32,PERMANECE,OK,DANIFICADO,VENDA,1
FILIAL LESTE,32,PERMANECE,OK,OK,VENDA,259
FILIAL LESTE,32,PERMANECE,ITEM PENDENTE,OK,VENDA,4
FILIAL LESTE,33,NOVO,OK,DANIFICADO,VENDA,2
FILIAL LESTE,33,NOVO,OK,OK,BONIFICAÇÃO,12
FILIAL LESTE,33,NOVO,OK,OK,REAPLICAÇÃO,26
FILIAL LESTE,33,NOVO,OK,OK,VENDA,325
FILIAL LESTE,33,NOVO,OK,OUTROS,VENDA,3
FILIAL LESTE,33,NOVO,ITEM PENDENTE,OK,VENDA,5
FILIAL LESTE,33,PERMANECE,OK,DANIFICADO,VENDA,1
FILIAL LESTE,33,PERMANECE,OK,OK,BONIFICAÇÃO,28
FILIAL LESTE,33,PERMANECE,OK,OK,VENDA,339
FILIAL LESTE,33,PERMANECE,OK,OUTROS,VENDA,5
FILIAL LESTE,33,PERMANECE,ITEM PENDENTE,OK,BONIFICAÇÃO,1
FILIAL LESTE,33,PERMANECE,ITEM PENDENTE,OK,VENDA,8
FILIAL LESTE,34,NOVO,OK,OK,BONIFICAÇÃO,7
FILIAL LESTE,34,NOVO,OK,OK,REAPLICAÇÃO,127
FILIAL LESTE,34,NOVO,OK,OK,VENDA,187
FILIAL LESTE,34,NOVO,ITEM PENDENTE,OK,VENDA,2
FILIAL LESTE,34,PERMANECE,OK,OK,BONIFICAÇÃO,3
FILIAL LESTE,34,PERMANECE,OK,OK,REAPLICAÇÃO,19
FILIAL LESTE,34,PERMANECE,OK,OK,VENDA,398
FILIAL LESTE,34,PERMANECE,ITEM PENDENTE,OK,BONIFICAÇÃO,1
FILIAL LESTE,34,PERMANECE,ITEM PENDENTE,OK,VENDA,10
FILIAL LESTE,35,NOVO,OK,OK,BONIFICAÇÃO,6
FILIAL LESTE,35,NOVO,OK,OK,REAPLICAÇÃO,22
FILIAL LESTE,35,NOVO,OK,OK,VENDA,212
FILIAL LESTE,35,NOVO,ITEM PENDENTE,OK,VENDA,49
FILIAL LESTE,35,PERMANECE,OK,DANIFICADO,VENDA,2
FILIAL LESTE,35,PERMANECE,OK,OK,BONIFICAÇÃO,34
FILIAL LESTE,35,PERMANECE,OK,OK,REAPLICAÇÃO,119
FILIAL LESTE,35,PERMANECE,OK,OK,VENDA,306
FILIAL LESTE,35,PERMANECE,ITEM PENDENTE,OK,REAPLICAÇÃO,1
FILIAL LESTE,35,PERMANECE,ITEM PENDENTE,OK,VENDA,2
FILIAL LESTE,36,NOVO,OK,OK,REAPLICAÇÃO,119
FILIAL LESTE,36,NOVO,OK,OK,VENDA,318
FILIAL LESTE,36,NOVO,ITEM PENDENTE,OK,REAPLICAÇÃO,1
FILIAL LESTE,36,NOVO,ITEM PENDENTE,OK,VENDA,4
FILIAL LESTE,36,PERMANECE,OK,OK,REAPLICAÇÃO,64
FILIAL LESTE,36,PERMANECE,OK,OK,VENDA,234
FILIAL LESTE,36,PERMANECE,ITEM PENDENTE,OK,VENDA,3
FILIAL LESTE,37,NOVO,OK,OK,REAPLICAÇÃO,7
FILIAL LESTE,37,NOVO,OK,OK,VENDA,232
FILIAL LESTE,37,NOVO,ITEM PENDENTE,OK,VENDA,2
FILIAL LESTE,37,PERMANECE,OK,OK,REAPLICAÇÃO,153
FILIAL LESTE,37,PERMANECE,OK,OK,VENDA,348
FILIAL LESTE,37,PERMANECE,ITEM PENDENTE,OK,VENDA,1
FILIAL SUL,9,NOVO,OK,OK,VENDA,230
FILIAL SUL,9,NOVO,OK,OUTROS,VENDA,1
FILIAL SUL,9,NOVO,ITEM PENDENTE,OK,VENDA,42
FILIAL SUL,9,PERMANECE,OK,DANIFICADO,VENDA,7
FILIAL SUL,9,PERMANECE,OK,OK,VENDA,738
FILIAL SUL,9,PERMANECE,OK,OUTROS,VENDA,2
FILIAL SUL,9,PERMANECE,ITEM PENDENTE,OK,VENDA,42
FILIAL SUL,10,NOVO,OK,DANIFICADO,VENDA,1
FILIAL SUL,10,NOVO,OK,OK,VENDA,548
FILIAL SUL,10,NOVO,ITEM PENDENTE,OK,VENDA,22
FILIAL SUL,10,PERMANECE,OK,DANIFICADO,VENDA,2
FILIAL SUL,10,PERMANECE,OK,OK,VENDA,466
FILIAL SUL,10,PERMANECE,OK,OUTROS,VENDA,1
FILIAL SUL,10,PERMANECE,ITEM PENDENTE,OK,VENDA,27
FILIAL SUL,11,NOVO,OK,DANIFICADO,VENDA,1
FILIAL SUL,11,NOVO,OK,OK,VENDA,567
FILIAL SUL,11,NOVO,OK,OUTROS,VENDA,1
FILIAL SUL,11,NOVO,ITEM PENDENTE,OK,VENDA,134
FILIAL SUL,11,PERMANECE,OK,DANIFICADO,VENDA,1
FILIAL SUL,11,PERMANECE,OK,OK,VENDA,311
FILIAL SUL,11,PERMANECE,ITEM PENDENTE,OK,VENDA,52
FILIAL SUL,12,NOVO,OK,OK,VENDA,269
FILIAL SUL,12,NOVO,ITEM PENDENTE,OK,VENDA,4
FILIAL SUL,12,PERMANECE,OK,DANIFICADO,VENDA,1
FILIAL SUL,12,PERMANECE,OK,OK,VENDA,530
FILIAL SUL,12,PERMANECE,ITEM PENDENTE,OK,VENDA,259
FILIAL SUL,13,NOVO,OK,OK,VENDA,344
FILIAL SUL,13,NOVO,ITEM PENDENTE,OK,VENDA,7
FILIAL SUL,13,PERMANECE,OK,DANIFICADO,VENDA,1
FILIAL SUL,13,PERMANECE,OK,OK,VENDA,705
FILIAL SUL,13,PERMANECE,ITEM PENDENTE,OK,VENDA,6
FILIAL SUL,14,NOVO,OK,DANIFICADO,VENDA,1
FILIAL SUL,14,NOVO,OK,OK,VENDA,713
FILIAL SUL,14,NOVO,OK,OUTROS,VENDA,7
FILIAL SUL,14,NOVO,ITEM PENDENTE,OK,VENDA,78
FILIAL SUL,14,PERMANECE,OK,DANIFICADO,VENDA,1
FILIAL SUL,14,PERMANECE,OK,OK,VENDA,235
FILIAL SUL,14,PERMANECE,OK,OUTROS,VENDA,1
FILIAL SUL,14,PERMANECE,ITEM PENDENTE,OK,VENDA,26
FILIAL SUL,15,NOVO,OK,OK,VENDA,424
FILIAL SUL,15,NOVO,OK,OUTROS,VENDA,1
FILIAL SUL,15,NOVO,ITEM PENDENTE,OK,VENDA,3
FILIAL SUL,15,PERMANECE,OK,DANIFICADO,VENDA,5
FILIAL SUL,15,PERMANECE,OK,OK,VENDA,627
FILIAL SUL,15,PERMANECE,OK,OUTROS,VENDA,1
FILIAL SUL,15,PERMANECE,ITEM PENDENTE,OK,VENDA,1
FILIAL SUL,16,NOVO,OK,DANIFICADO,VENDA,1
FILIAL SUL,16,NOVO,OK,OK,VENDA,520
FILIAL SUL,16,NOVO,OK,OUTROS,VENDA,5
FILIAL SUL,16,NOVO,ITEM PENDENTE,OK,VENDA,8
FILIAL SUL,16,PERMANECE,OK,DANIFICADO,VENDA,2
FILIAL SUL,16,PERMANECE,OK,OK,VENDA,510
FILIAL SUL,16,PERMANECE,OK,OUTROS,VENDA,2
FILIAL SUL,16,PERMANECE,ITEM PENDENTE,OK,VENDA,14
FILIAL SUL,17,NOVO,OK,DANIFICADO,VENDA,1
FILIAL SUL,17,NOVO,OK,OK,VENDA,557
FILIAL SUL,17,NOVO,ITEM PENDENTE,OK,VENDA,10
FILIAL SUL,17,PERMANECE,OK,DANIFICADO,VENDA,8
FILIAL SUL,17,PERMANECE,OK,OK,VENDA,482
FILIAL SUL,17,PERMANECE,ITEM PENDENTE,OK,VENDA,5
FILIAL SUL,18,NOVO,OK,OK,VENDA,626
FILIAL SUL,18,NOVO,ITEM PENDENTE,OK,VENDA,21
FILIAL SUL,18,PERMANECE,OK,DANIFICADO,VENDA,2
FILIAL SUL,18,PERMANECE,OK,OK,VENDA,391
FILIAL SUL,18,PERMANECE,ITEM PENDENTE,OK,VENDA,23
FILIAL SUL,19,NOVO,OK,OK,VENDA,770
FILIAL SUL,19,NOVO,ITEM PENDENTE,OK,VENDA,36
FILIAL SUL,19,PERMANECE,OK,DANIFICADO,VENDA,1
FILIAL SUL,19,PERMANECE,OK,OK,VENDA,249
FILIAL SUL,19,PERMANECE,ITEM PENDENTE,OK,VENDA,7
FILIAL SUL,20,NOVO,OK,OK,VENDA,540
FILIAL SUL,20,NOVO,ITEM PENDENTE,OK,VENDA,1
FILIAL SUL,20,PERMANECE,OK,DANIFICADO,VENDA,2
FILIAL SUL,20,PERMANECE,OK,OK,VENDA,516
FILIAL SUL,20,PERMANECE,ITEM PENDENTE,OK,VENDA,4
FILIAL SUL,21,NOVO,OK,OK,VENDA,371
FILIAL SUL,21,NOVO,OK,OUTROS,VENDA,1
FILIAL SUL,21,NOVO,ITEM PENDENTE,OK,VENDA,111
FILIAL SUL,21,PERMANECE,OK,OK,VENDA,577
FILIAL SUL,21,PERMANECE,OK,OUTROS,VENDA,1
FILIAL SUL,21,PERMANECE,ITEM PENDENTE,OK,VENDA,1
FILIAL SUL,22,NOVO,OK,DANIFICADO,VENDA,4
FILIAL SUL,22,NOVO,OK,OK,VENDA,619
FILIAL SUL,22,NOVO,OK,OUTROS,VENDA,1
FILIAL SUL,22,NOVO,ITEM PENDENTE,OK,VENDA,3
FILIAL SUL,22,PERMANECE,OK,OK,VENDA,427
FILIAL SUL,22,PERMANECE,ITEM PENDENTE,OK,VENDA,6
FILIAL SUL,23,NOVO,OK,OK,VENDA,320
FILIAL SUL,23,NOVO,ITEM PENDENTE,OK,VENDA,1
FILIAL SUL,23,PERMANECE,OK,DANIFICADO,VENDA,5
FILIAL SUL,23,PERMANECE,OK,OK,VENDA,728
FILIAL SUL,23,PERMANECE,OK,OUTROS,VENDA,2
FILIAL SUL,23,PERMANECE,ITEM PENDENTE,OK,VENDA,4
FILIAL SUL,24,NOVO,OK,DANIFICADO,VENDA,3
FILIAL SUL,24,NOVO,OK,OK,VENDA,647
FILIAL SUL,24,NOVO,ITEM PENDENTE,OK,VENDA,35
FILIAL SUL,24,PERMANECE,OK,DANIFICADO,VENDA,1
FILIAL SUL,24,PERMANECE,OK,OK,VENDA,344
