FILIAL,SEMANA,NOVO/PERMANECE,PENDENCIA,DANIFICADOS,BONIFICAÇÃO,Total
FILIAL SUL,24,PERMANECE,ITEM PENDENTE,OK,VENDA,28
FILIAL SUL,25,NOVO,OK,DANIFICADO,VENDA,1
FILIAL SUL,25,NOVO,OK,OK,VENDA,510
FILIAL SUL,25,NOVO,OK,OUTROS,VENDA,1
FILIAL SUL,25,NOVO,ITEM PENDENTE,OK,VENDA,30
FILIAL SUL,25,NOVO,ITEM PENDENTE,OUTROS,VENDA,1
FILIAL SUL,25,PERMANECE,OK,DANIFICADO,VENDA,1
FILIAL SUL,25,PERMANECE,OK,OK,VENDA,498
FILIAL SUL,25,PERMANECE,ITEM PENDENTE,OK,VENDA,16
FILIAL SUL,26,NOVO,OK,OK,VENDA,355
FILIAL SUL,26,NOVO,OK,OUTROS,VENDA,4
FILIAL SUL,26,NOVO,ITEM PENDENTE,OK,VENDA,44
FILIAL SUL,26,PERMANECE,OK,DANIFICADO,VENDA,2
FILIAL SUL,26,PERMANECE,OK,OK,VENDA,598
FILIAL SUL,26,PERMANECE,OK,OUTROS,VENDA,1
FILIAL SUL,26,PERMANECE,ITEM PENDENTE,OK,VENDA,54
FILIAL SUL,27,NOVO,OK,DANIFICADO,VENDA,4
FILIAL SUL,27,NOVO,OK,OK,VENDA,622
FILIAL SUL,27,NOVO,OK,OUTROS,VENDA,9
FILIAL SUL,27,NOVO,ITEM PENDENTE,OK,VENDA,66
FILIAL SUL,27,PERMANECE,OK,DANIFICADO,VENDA,2
FILIAL SUL,27,PERMANECE,OK,OK,VENDA,315
FILIAL SUL,27,PERMANECE,OK,OUTROS,VENDA,1
FILIAL SUL,27,PERMANECE,ITEM PENDENTE,OK,VENDA,29
FILIAL SUL,28,NOVO,OK,DANIFICADO,VENDA,3
FILIAL SUL,28,NOVO,OK,OK,VENDA,350
FILIAL SUL,28,NOVO,OK,OUTROS,VENDA,2
FILIAL SUL,28,NOVO,ITEM PENDENTE,OK,VENDA,54
FILIAL SUL,28,PERMANECE,OK,DANIFICADO,VENDA,7
FILIAL SUL,28,PERMANECE,OK,OK,VENDA,559
FILIAL SUL,28,PERMANECE,OK,OUTROS,VENDA,8
FILIAL SUL,28,PERMANECE,ITEM PENDENTE,DANIFICADO,VENDA,1
FILIAL SUL,28,PERMANECE,ITEM PENDENTE,OK,VENDA,37
FILIAL SUL,29,NOVO,OK,DANIFICADO,VENDA,2
FILIAL SUL,29,NOVO,OK,OK,VENDA,371
FILIAL SUL,29,NOVO,OK,OUTROS,VENDA,6
FILIAL SUL,29,NOVO,ITEM PENDENTE,OK,VENDA,26
FILIAL SUL,29,PERMANECE,OK,DANIFICADO,VENDA,2
FILIAL SUL,29,PERMANECE,OK,OK,VENDA,544
FILIAL SUL,29,PERMANECE,OK,OUTROS,VENDA,1
FILIAL SUL,29,PERMANECE,ITEM PENDENTE,OK,VENDA,40
FILIAL SUL,30,NOVO,OK,DANIFICADO,VENDA,1
FILIAL SUL,30,NOVO,OK,OK,VENDA,345
FILIAL SUL,30,NOVO,OK,OUTROS,VENDA,8
FILIAL SUL,30,NOVO,ITEM PENDENTE,OK,VENDA,26
FILIAL SUL,30,PERMANECE,OK,DANIFICADO,VENDA,2
FILIAL SUL,30,PERMANECE,OK,OK,VENDA,549
FILIAL SUL,30,PERMANECE,OK,OUTROS,VENDA,1
FILIAL SUL,30,PERMANECE,ITEM PENDENTE,OK,VENDA,40
FILIAL SUL,31,NOVO,OK,DANIFICADO,VENDA,2
FILIAL SUL,31,NOVO,OK,OK,VENDA,436
FILIAL SUL,31,NOVO,ITEM PENDENTE,OK,VENDA,19
FILIAL SUL,31,PERMANECE,OK,DANIFICADO,VENDA,2
FILIAL SUL,31,PERMANECE,OK,OK,VENDA,483
FILIAL SUL,31,PERMANECE,OK,OUTROS,VENDA,1
FILIAL SUL,31,PERMANECE,ITEM PENDENTE,OK,VENDA,20
FILIAL SUL,32,NOVO,OK,DANIFICADO,VENDA,1
FILIAL SUL,32,NOVO,OK,OK,VENDA,546
FILIAL SUL,32,NOVO,OK,OUTROS,VENDA,12
FILIAL SUL,32,NOVO,ITEM PENDENTE,OK,VENDA,74
FILIAL SUL,32,PERMANECE,OK,DANIFICADO,VENDA,1
FILIAL SUL,32,PERMANECE,OK,OK,VENDA,293
FILIAL SUL,32,PERMANECE,ITEM PENDENTE,OK,VENDA,2
FILIAL SUL,33,NOVO,OK,OK,BONIFICAÇÃO,23
FILIAL SUL,33,NOVO,OK,OK,REAPLICAÇÃO,29
FILIAL SUL,33,NOVO,OK,OK,VENDA,472
FILIAL SUL,33,NOVO,ITEM PENDENTE,OK,BONIFICAÇÃO,1
FILIAL SUL,33,NOVO,ITEM PENDENTE,OK,REAPLICAÇÃO,1
FILIAL SUL,33,NOVO,ITEM PENDENTE,OK,VENDA,8
FILIAL SUL,33,PERMANECE,OK,DANIFICADO,VENDA,2
FILIAL SUL,33,PERMANECE,OK,OK,BONIFICAÇÃO,15
FILIAL SUL,33,PERMANECE,OK,OK,VENDA,359
FILIAL SUL,33,PERMANECE,OK,OUTROS,VENDA,8
FILIAL SUL,33,PERMANECE,ITEM PENDENTE,OK,VENDA,11
FILIAL SUL,34,NOVO,OK,OK,BONIFICAÇÃO,25
FILIAL SUL,34,NOVO,OK,OK,REAPLICAÇÃO,143
FILIAL SUL,34,NOVO,OK,OK,VENDA,196
FILIAL SUL,34,NOVO,ITEM PENDENTE,OK,REAPLICAÇÃO,3
FILIAL SUL,34,NOVO,ITEM PENDENTE,OK,VENDA,1
FILIAL SUL,34,PERMANECE,OK,DANIFICADO,VENDA,3
FILIAL SUL,34,PERMANECE,OK,OK,BONIFICAÇÃO,16
FILIAL SUL,34,PERMANECE,OK,OK,REAPLICAÇÃO,23
FILIAL SUL,34,PERMANECE,OK,OK,VENDA,492
FILIAL SUL,34,PERMANECE,OK,OUTROS,VENDA,2
FILIAL SUL,34,PERMANECE,ITEM PENDENTE,OK,VENDA,22
FILIAL SUL,34,PERMANECE,ITEM PENDENTE,OUTROS,VENDA,1
FILIAL SUL,35,NOVO,OK,OK,BONIFICAÇÃO,13
FILIAL SUL,35,NOVO,OK,OK,REAPLICAÇÃO,38
FILIAL SUL,35,NOVO,OK,OK,VENDA,251
FILIAL SUL,35,NOVO,ITEM PENDENTE,OK,VENDA,128
FILIAL SUL,35,NOVO,ITEM PENDENTE,OUTROS,VENDA,1
FILIAL SUL,35,PERMANECE,OK,DANIFICADO,VENDA,3
FILIAL SUL,35,PERMANECE,OK,OK,BONIFICAÇÃO,68
FILIAL SUL,35,PERMANECE,OK,OK,REAPLICAÇÃO,139
FILIAL SUL,35,PERMANECE,OK,OK,VENDA,284
FILIAL SUL,36,NOVO,OK,DANIFICADO,VENDA,1
FILIAL SUL,36,NOVO,OK,OK,REAPLICAÇÃO,125
FILIAL SUL,36,NOVO,OK,OK,VENDA,347
FILIAL SUL,36,NOVO,ITEM PENDENTE,OK,REAPLICAÇÃO,3
FILIAL SUL,36,NOVO,ITEM PENDENTE,OK,VENDA,4
FILIAL SUL,36,PERMANECE,OK,DANIFICADO,VENDA,1
FILIAL SUL,36,PERMANECE,OK,OK,REAPLICAÇÃO,31
FILIAL SUL,36,PERMANECE,OK,OK,VENDA,369
FILIAL SUL,36,PERMANECE,ITEM PENDENTE,OK,VENDA,5
FILIAL SUL,37,NOVO,OK,DANIFICADO,VENDA,2
FILIAL SUL,37,NOVO,OK,OK,REAPLICAÇÃO,2
FILIAL SUL,37,NOVO,OK,OK,VENDA,223
FILIAL SUL,37,NOVO,ITEM PENDENTE,OK,VENDA,5
FILIAL SUL,37,PERMANECE,OK,DANIFICADO,VENDA,3
FILIAL SUL,37,PERMANECE,OK,OK,REAPLICAÇÃO,171
FILIAL SUL,37,PERMANECE,OK,OK,VENDA,475
FILIAL SUL,37,PERMANECE,ITEM PENDENTE,OK,REAPLICAÇÃO,2
FILIAL SUL,37,PERMANECE,ITEM PENDENTE,OK,VENDA,7
MATRIZ,9,NOVO,OK,OK,VENDA,208
MATRIZ,9,NOVO,ITEM PENDENTE,OK,VENDA,35
MATRIZ,9,PERMANECE,OK,DANIFICADO,VENDA,9
MATRIZ,9,PERMANECE,OK,OK,VENDA,674
MATRIZ,9,PERMANECE,ITEM PENDENTE,OK,VENDA,57
MATRIZ,10,NOVO,OK,DANIFICADO,VENDA,1
MATRIZ,10,NOVO,OK,OK,VENDA,591
MATRIZ,10,NOVO,ITEM PENDENTE,OK,VENDA,4
MATRIZ,10,PERMANECE,OK,OK,VENDA,381
MATRIZ,10,PERMANECE,ITEM PENDENTE,OK,VENDA,6
MATRIZ,11,NOVO,OK,OK,VENDA,455
MATRIZ,11,NOVO,ITEM PENDENTE,DANIFICADO,VENDA,1
MATRIZ,11,NOVO,ITEM PENDENTE,OK,VENDA,103
MATRIZ,11,PERMANECE,OK,OK,VENDA,421
MATRIZ,11,PERMANECE,ITEM PENDENTE,OK,VENDA,3
MATRIZ,12,NOVO,OK,DANIFICADO,VENDA,1
MATRIZ,12,NOVO,OK,OK,VENDA,444
MATRIZ,12,NOVO,ITEM PENDENTE,OK,VENDA,39
MATRIZ,12,PERMANECE,OK,DANIFICADO,VENDA,1
MATRIZ,12,PERMANECE,OK,OK,VENDA,291
MATRIZ,12,PERMANECE,OK,OUTROS,VENDA,2
MATRIZ,12,PERMANECE,ITEM PENDENTE,OK,VENDA,211
MATRIZ,13,NOVO,OK,OK,VENDA,318
MATRIZ,13,NOVO,ITEM PENDENTE,OK,VENDA,6
MATRIZ,13,PERMANECE,OK,DANIFICADO,VENDA,3
MATRIZ,13,PERMANECE,OK,OK,VENDA,655
MATRIZ,13,PERMANECE,ITEM PENDENTE,OK,VENDA,7
MATRIZ,14,NOVO,OK,DANIFICADO,VENDA,2
MATRIZ,14,NOVO,OK,OK,VENDA,738
MATRIZ,14,NOVO,OK,OUTROS,VENDA,11
MATRIZ,14,NOVO,ITEM PENDENTE,OK,VENDA,22
MATRIZ,14,PERMANECE,OK,OK,VENDA,208
MATRIZ,14,PERMANECE,OK,OUTROS,VENDA,1
MATRIZ,14,PERMANECE,ITEM PENDENTE,OK,VENDA,6
MATRIZ,15,NOVO,OK,DANIFICADO,VENDA,3
MATRIZ,15,NOVO,OK,OK,VENDA,389
MATRIZ,15,NOVO,OK,OUTROS,VENDA,1
MATRIZ,15,PERMANECE,OK,DANIFICADO,VENDA,1
MATRIZ,15,PERMANECE,OK,OK,VENDA,592
MATRIZ,15,PERMANECE,ITEM PENDENTE,OK,VENDA,5
MATRIZ,16,NOVO,OK,OK,VENDA,443
MATRIZ,16,NOVO,OK,OUTROS,VENDA,7
MATRIZ,16,NOVO,ITEM PENDENTE,OK,VENDA,2
MATRIZ,16,PERMANECE,OK,DANIFICADO,VENDA,1
MATRIZ,16,PERMANECE,OK,OK,VENDA,537
MATRIZ,16,PERMANECE,ITEM PENDENTE,OK,VENDA,4
MATRIZ,17,NOVO,OK,DANIFICADO,VENDA,3
MATRIZ,17,NOVO,OK,OK,VENDA,572
MATRIZ,17,NOVO,ITEM PENDENTE,OK,VENDA,15
MATRIZ,17,NOVO,ITEM PENDENTE,OUTROS,VENDA,1
MATRIZ,17,PERMANECE,OK,DANIFICADO,VENDA,2
MATRIZ,17,PERMANECE,OK,OK,VENDA,395
MATRIZ,17,PERMANECE,ITEM PENDENTE,OK,VENDA,5
MATRIZ,18,NOVO,OK,OK,VENDA,546
MATRIZ,18,NOVO,ITEM PENDENTE,OK,VENDA,5
MATRIZ,18,PERMANECE,OK,DANIFICADO,VENDA,3
MATRIZ,18,PERMANECE,OK,OK,VENDA,431
MATRIZ,18,PERMANECE,ITEM PENDENTE,OK,VENDA,9
MATRIZ,19,NOVO,OK,DANIFICADO,VENDA,3
MATRIZ,19,NOVO,OK,OK,VENDA,760
MATRIZ,19,NOVO,ITEM PENDENTE,OK,VENDA,19
MATRIZ,19,PERMANECE,OK,OK,VENDA,212
MATRIZ,19,PERMANECE,ITEM PENDENTE,OK,VENDA,2
MATRIZ,20,NOVO,OK,DANIFICADO,VENDA,3
MATRIZ,20,NOVO,OK,OK,VENDA,452
MATRIZ,20,NOVO,ITEM PENDENTE,OK,VENDA,7
MATRIZ,20,PERMANECE,OK,DANIFICADO,VENDA,4
MATRIZ,20,PERMANECE,OK,OK,VENDA,522
MATRIZ,20,PERMANECE,ITEM PENDENTE,OK,VENDA,5
MATRIZ,21,NOVO,OK,DANIFICADO,VENDA,3
MATRIZ,21,NOVO,OK,OK,VENDA,328
MATRIZ,21,NOVO,ITEM PENDENTE,OK,VENDA,94
MATRIZ,21,PERMANECE,OK,DANIFICADO,VENDA,6
MATRIZ,21,PERMANECE,OK,OK,VENDA,560
MATRIZ,21,PERMANECE,ITEM PENDENTE,OK,VENDA,3
MATRIZ,22,NOVO,OK,OK,VENDA,606
MATRIZ,22,NOVO,OK,OUTROS,VENDA,1
MATRIZ,22,NOVO,ITEM PENDENTE,OK,VENDA,3
MATRIZ,22,PERMANECE,OK,DANIFICADO,VENDA,4
MATRIZ,22,PERMANECE,OK,OK,VENDA,375
MATRIZ,22,PERMANECE,OK,OUTROS,VENDA,1
MATRIZ,22,PERMANECE,ITEM PENDENTE,OK,VENDA,4
MATRIZ,23,NOVO,OK,OK,VENDA,322
MATRIZ,23,NOVO,OK,OUTROS,VENDA,1
MATRIZ,23,NOVO,ITEM PENDENTE,OK,VENDA,1
MATRIZ,23,PERMANECE,OK,DANIFICADO,VENDA,1
MATRIZ,23,PERMANECE,OK,OK,VENDA,664
MATRIZ,23,PERMANECE,ITEM PENDENTE,OK,VENDA,5
MATRIZ,24,NOVO,OK,DANIFICADO,VENDA,3
MATRIZ,24,NOVO,OK,OK,VENDA,588
MATRIZ,24,NOVO,OK,OUTROS,VENDA,2
MATRIZ,24,NOVO,ITEM PENDENTE,OK,VENDA,12
MATRIZ,24,PERMANECE,OK,OK,VENDA,385
MATRIZ,24,PERMANECE,OK,OUTROS,VENDA,1
MATRIZ,24,PERMANECE,ITEM PENDENTE,OK,VENDA,5
MATRIZ,25,NOVO,OK,OK,VENDA,484
MATRIZ,25,NOVO,OK,OUTROS,VENDA,9
MATRIZ,25,NOVO,ITEM PENDENTE,OK,VENDA,4
MATRIZ,25,PERMANECE,OK,OK,VENDA,487
MATRIZ,25,PERMANECE,OK,OUTROS,VENDA,1
MATRIZ,25,PERMANECE,ITEM PENDENTE,OK,VENDA,8
MATRIZ,26,NOVO,OK,OK,VENDA,315
MATRIZ,26,NOVO,OK,OUTROS,VENDA,6
MATRIZ,26,NOVO,ITEM PENDENTE,OK,VENDA,28
MATRIZ,26,PERMANECE,OK,DANIFICADO,VENDA,3
MATRIZ,26,PERMANECE,OK,OK,VENDA,515
MATRIZ,26,PERMANECE,OK,OUTROS,VENDA,1
MATRIZ,26,PERMANECE,ITEM PENDENTE,OK,VENDA,93
MATRIZ,27,NOVO,OK,DANIFICADO,VENDA,2
MATRIZ,27,NOVO,OK,OK,VENDA,609
MATRIZ,27,NOVO,OK,OUTROS,VENDA,9
MATRIZ,27,NOVO,ITEM PENDENTE,OK,VENDA,22
MATRIZ,27,PERMANECE,OK,OK,VENDA,281
MATRIZ,27,PERMANECE,OK,OUTROS,VENDA,1
MATRIZ,27,PERMANECE,ITEM PENDENTE,OK,VENDA,9
MATRIZ,28,NOVO,OK,OK,VENDA,358
MATRIZ,28,NOVO,OK,OUTROS,VENDA,2
MATRIZ,28,NOVO,ITEM PENDENTE,OK,VENDA,19
MATRIZ,28,NOVO,ITEM PENDENTE,OUTROS,VENDA,1
MATRIZ,28,PERMANECE,OK,OK,VENDA,519
MATRIZ,28,PERMANECE,OK,OUTROS,VENDA,2
MATRIZ,28,PERMANECE,ITEM PENDENTE,OK,VENDA,33
MATRIZ,29,NOVO,OK,DANIFICADO,VENDA,2
MATRIZ,29,NOVO,OK,OK,VENDA,323
MATRIZ,29,NOVO,OK,OUTROS,VENDA,3
MATRIZ,29,NOVO,ITEM PENDENTE,OK,VENDA,2
MATRIZ,29,PERMANECE,OK,DANIFICADO,VENDA,2
MATRIZ,29,PERMANECE,OK,OK,VENDA,570
MATRIZ,29,PERMANECE,OK,OUTROS,VENDA,3
MATRIZ,29,PERMANECE,ITEM PENDENTE,OK,VENDA,12
MATRIZ,30,NOVO,OK,DANIFICADO,VENDA,2
MATRIZ,30,NOVO,OK,OK,VENDA,306
MATRIZ,30,NOVO,OK,OUTROS,VENDA,2
MATRIZ,30,NOVO,ITEM PENDENTE,OK,VENDA,4
MATRIZ,30,PERMANECE,OK,OK,VENDA,585
MATRIZ,30,PERMANECE,ITEM PENDENTE,OK,VENDA,7
MATRIZ,31,NOVO,OK,DANIFICADO,VENDA,1
MATRIZ,31,NOVO,OK,OK,VENDA,471
MATRIZ,31,NOVO,OK,OUTROS,VENDA,3
MATRIZ,31,NOVO,ITEM PENDENTE,OK,VENDA,27
MATRIZ,31,PERMANECE,OK,DANIFICADO,VENDA,1
MATRIZ,31,PERMANECE,OK,OK,VENDA,381
MATRIZ,31,PERMANECE,OK,OUTROS,VENDA,2
MATRIZ,31,PERMANECE,ITEM PENDENTE,OK,VENDA,11
MATRIZ,32,NOVO,OK,OK,VENDA,490
MATRIZ,32,NOVO,OK,OUTROS,VENDA,13
MATRIZ,32,NOVO,ITEM PENDENTE,OK,VENDA,99
MATRIZ,32,PERMANECE,OK,OK,VENDA,277
MATRIZ,32,PERMANECE,ITEM PENDENTE,OK,VENDA,10
MATRIZ,33,NOVO,OK,DANIFICADO,BONIFICAÇÃO,1
MATRIZ,33,NOVO,OK,DANIFICADO,VENDA,1
MATRIZ,33,NOVO,OK,OK,BONIFICAÇÃO,15
MATRIZ,33,NOVO,OK,OK,REAPLICAÇÃO,22
MATRIZ,33,NOVO,OK,OK,VENDA,404
MATRIZ,33,NOVO,OK,OUTROS,VENDA,1
MATRIZ,33,NOVO,ITEM PENDENTE,OK,REAPLICAÇÃO,2
MATRIZ,33,NOVO,ITEM PENDENTE,OK,VENDA,15
MATRIZ,33,NOVO,ITEM PENDENTE,OUTROS,VENDA,1
MATRIZ,33,PERMANECE,OK,OK,BONIFICAÇÃO,27
MATRIZ,33,PERMANECE,OK,OK,VENDA,391
MATRIZ,33,PERMANECE,OK,OUTROS,VENDA,3
MATRIZ,33,PERMANECE,ITEM PENDENTE,OK,VENDA,6
MATRIZ,34,NOVO,OK,OK,BONIFICAÇÃO,17
MATRIZ,34,NOVO,OK,OK,REAPLICAÇÃO,151
MATRIZ,34,NOVO,OK,OK,VENDA,185
MATRIZ,34,NOVO,ITEM PENDENTE,OK,REAPLICAÇÃO,6
MATRIZ,34,NOVO,ITEM PENDENTE,OK,VENDA,1
MATRIZ,34,PERMANECE,OK,OK,BONIFICAÇÃO,9
MATRIZ,34,PERMANECE,OK,OK,REAPLICAÇÃO,18
MATRIZ,34,PERMANECE,OK,OK,VENDA,484
MATRIZ,34,PERMANECE,ITEM PENDENTE,OK,BONIFICAÇÃO,1
MATRIZ,34,PERMANECE,ITEM PENDENTE,OK,VENDA,19
MATRIZ,34,PERMANECE,ITEM PENDENTE,OUTROS,VENDA,1
MATRIZ,35,NOVO,OK,OK,BONIFICAÇÃO,8
MATRIZ,35,NOVO,OK,OK,REAPLICAÇÃO,55
MATRIZ,35,NOVO,OK,OK,VENDA,206
MATRIZ,35,NOVO,ITEM PENDENTE,OK,REAPLICAÇÃO,1
MATRIZ,35,NOVO,ITEM PENDENTE,OK,VENDA,81
MATRIZ,35,PERMANECE,OK,DANIFICADO,VENDA,1
MATRIZ,35,PERMANECE,OK,OK,BONIFICAÇÃO,52
MATRIZ,35,PERMANECE,OK,OK,REAPLICAÇÃO,151
MATRIZ,35,PERMANECE,OK,OK,VENDA,333
MATRIZ,35,PERMANECE,ITEM PENDENTE,OK,VENDA,4
MATRIZ,36,NOVO,OK,DANIFICADO,REAPLICAÇÃO,1
MATRIZ,36,NOVO,OK,DANIFICADO,VENDA,3
MATRIZ,36,NOVO,OK,OK,REAPLICAÇÃO,148
MATRIZ,36,NOVO,OK,OK,VENDA,378
MATRIZ,36,NOVO,ITEM PENDENTE,OK,REAPLICAÇÃO,2
MATRIZ,36,NOVO,ITEM PENDENTE,OK,VENDA,11
MATRIZ,36,PERMANECE,OK,OK,REAPLICAÇÃO,38
MATRIZ,36,PERMANECE,OK,OK,VENDA,283
MATRIZ,36,PERMANECE,OK,OUTROS,REAPLICAÇÃO,1
MATRIZ,36,PERMANECE,ITEM PENDENTE,OK,REAPLICAÇÃO,1
MATRIZ,36,PERMANECE,ITEM PENDENTE,OK,VENDA,6
MATRIZ,37,NOVO,OK,OK,REAPLICAÇÃO,2
MATRIZ,37,NOVO,OK,OK,VENDA,259
MATRIZ,37,NOVO,OK,OUTROS,VENDA,2
MATRIZ,37,PERMANECE,OK,OK,REAPLICAÇÃO,185
MATRIZ,37,PERMANECE,OK,OK,VENDA,417
MATRIZ,37,PERMANECE,OK,OUTROS,VENDA,1
MATRIZ,37,PERMANECE,ITEM PENDENTE,OK,VENDA,8